Year,Name,Birthplace,Nationality,Sport,Labels,Medal
1957,Philippe Riboud,{France|Lyon},NULL,Fencer,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|CausalAgent100007347|Combatant109939313|Contestant109613191|Fencer110085217|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|YagoLegalActorGeo|FencersAtThe1976SummerOlympics|FencersAtThe1980SummerOlympics|FencersAtThe1984SummerOlympics|FencersAtThe1988SummerOlympics|FrenchFencers|PhysicalEntity100001930|Winner110782940|OlympicBronzeMedalistsForFrance|OlympicFencersOfFrance|OlympicGoldMedalistsForFrance|OlympicMedalistsInFencing|OlympicSilverMedalistsForFrance|PeopleFromLyon|YagoLegalActor},Gold Medalist
1957,Albert Hedderich,NULL,NULL,Rower,{agent|athlete|person|rower|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanRowers|LivingPeople|Boatman109861946|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Oarsman110368920|Object100002684|Organism100004475|Person100007846|Whole100003553|Worker109632518|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|RowersAtThe1984SummerOlympics|OlympicGoldMedalistsForWestGermany|OlympicMedalistsInRowing|OlympicRowersOfWestGermany|YagoLegalActor},Gold Medalist
1957,Aleksandr Borisovich Savin,Taganrog,Soviet Union,Volleyball player,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|VolleyballPlayersAtThe1976SummerOlympics|VolleyballPlayersAtThe1980SummerOlympics|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|VolleyballPlayer110759047|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|SovietVolleyballPlayers|OlympicGoldMedalistsForTheSovietUnion|OlympicMedalistsInVolleyball|OlympicSilverMedalistsForTheSovietUnion|OlympicVolleyballPlayersOfTheSovietUnion|PeopleFromTaganrog|YagoLegalActor},Gold Medalist
1957,Alexander Dityatin,{Soviet Union|Russian Soviet Federative Socialist Republic|Saint Petersburg},NULL,Gymnast,{agent|athlete|gymnast|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GymnastsAtThe1976SummerOlympics|GymnastsAtThe1980SummerOlympics|LivingPeople|MedalistsAtWorldGymnasticsChampionships|WorldChampionGymnasts|Athlete109820263|CausalAgent100007347|Contestant109613191|Gymnast110153594|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|YagoLegalActorGeo|DynamoSportsSocietyAthletes|PhysicalEntity100001930|Winner110782940|RussianMaleArtisticGymnasts|SovietMaleArtisticGymnasts|OlympicBronzeMedalistsForTheSovietUnion|OlympicGoldMedalistsForTheSovietUnion|OlympicGymnastsOfTheSovietUnion|OlympicMedalistsInGymnastics|OlympicSilverMedalistsForTheSovietUnion|YagoLegalActor},Gold Medalist
1957,Alexander Vasilyevich Tkachyov,{Russia|Voronezh Oblast|Semiluki},NULL,Olympic gymnast,{agent|athlete|gymnast|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GymnastsAtThe1980SummerOlympics|LivingPeople|MedalistsAtWorldGymnasticsChampionships|WorldChampionGymnasts|Athlete109820263|CausalAgent100007347|Contestant109613191|Creator109614315|Gymnast110153594|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|YagoLegalActorGeo|DynamoSportsSocietyAthletes|Originator110383816|PhysicalEntity100001930|Winner110782940|RussianMaleArtisticGymnasts|SovietMaleArtisticGymnasts|OlympicGoldMedalistsForTheSovietUnion|OlympicGymnastsOfTheSovietUnion|OlympicMedalistsInGymnastics|OlympicSilverMedalistsForTheSovietUnion|OriginatorsOfElementsInArtisticGymnastics|PeopleFromVoronezhOblast|YagoLegalActor},Gold Medalist
1957,Robin Cousins,Bristol,NULL,British figure skater,{agent|athlete|figure skater|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|FigureSkater|LivingPeople|Adjudicator109769636|Athlete109820263|BritishMaleSingleSkaters|CausalAgent100007347|Contestant109613191|Judge110225219|LivingThing100004258|Medalist110305062|Object100002684|Official110372373|Organism100004475|Person100007846|Skater110604491|SkilledWorker110605985|Whole100003553|Worker109632518|YagoLegalActorGeo|FigureSkatersAtThe1976WinterOlympics|FigureSkatersAtThe1980WinterOlympics|PhysicalEntity100001930|Winner110782940|RealityTelevisionJudges|OlympicFigureSkatersOfGreatBritain|OlympicGoldMedalistsForGreatBritain|OlympicMedalistsInFigureSkating|PeopleFromBristol|YagoLegalActor},Gold Medalist
1957,Sybille Reinhardt,Pirna,NULL,Rower,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanRowers|LivingPeople|Boatman109861946|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Oarsman110368920|Object100002684|Organism100004475|Person100007846|Whole100003553|Worker109632518|YagoLegalActorGeo|FemaleRowers|PhysicalEntity100001930|Winner110782940|RowersAtThe1980SummerOlympics|OlympicGoldMedalistsForEastGermany|OlympicMedalistsInRowing|OlympicRowersOfEastGermany|PeopleFromPirna|YagoLegalActor},Gold Medalist
1957,Evelyn Ashford,NULL,NULL,Athletics (sport) competitor,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Runner110542888|AmericanSprinters|Athlete109820263|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Sprinter110641413|Whole100003553|YagoLegalActorGeo|FemaleSprinters|PhysicalEntity100001930|Winner110782940|OlympicGoldMedalistsForTheUnitedStates|OlympicMedalistsInAthletics(trackAndField)|OlympicSilverMedalistsForTheUnitedStates|PeopleFromShreveportLouisiana|YagoLegalActor},Gold Medalist
1957,Deena Deardurff,Cincinnati,United States,American swimmer Olympic gold medalist former world record-holder college swimming coach,{agent|athlete|person|swimmer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|WorldAquaticsChampionshipsMedalistsInSwimming|Athlete109820263|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Swimmer110683349|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|SwimmersAtThe1972SummerOlympics|OlympicGoldMedalistsForTheUnitedStates|OlympicMedalistsInSwimming|OlympicSwimmersOfTheUnitedStates|YagoLegalActor},Gold Medalist
1957,Gianfranco Dalla Barba,{Italy|Padua},NULL,Fencer,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|ItalianFencers|LivingPeople|CausalAgent100007347|Combatant109939313|Contestant109613191|Fencer110085217|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|YagoLegalActorGeo|FencersAtThe1984SummerOlympics|FencersAtThe1988SummerOlympics|PhysicalEntity100001930|Winner110782940|OlympicBronzeMedalistsForItaly|OlympicFencersOfItaly|OlympicGoldMedalistsForItaly|OlympicMedalistsInFencing|PeopleFromPadua|YagoLegalActor},Gold Medalist
1957,Bernhard Glass,NULL,NULL,Luger,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Athlete109820263|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|NationalPeople'sArmyMilitaryAthletes|OlympicGoldMedalistsForEastGermany|OlympicMedalistsInLuge|YagoLegalActor},Gold Medalist
1957,Bogdan Musiol,Silesia,NULL,Bobsledder,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanPeopleFromThePolishPartOfSilesia|GermanPeopleOfPolishDescent|GermanPeopleOfSilesianDescent|GermanShotPutters|LivingPeople|Athlete109820263|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|ShotPutter110593521|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|NationalPeople'sArmyMilitaryAthletes|OlympicBronzeMedalistsForEastGermany|OlympicGoldMedalistsForEastGermany|OlympicMedalistsInBobsleigh|OlympicSilverMedalistsForEastGermany|PeopleFrom%C5%9Awi%C4%99toch%C5%82owice|YagoLegalActor},Gold Medalist
1957,Branko Štrbac,NULL,NULL,Handball player,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|HandballPlayersAtThe1984SummerOlympics|LivingPeople|YugoslavHandballPlayers|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|MontenegrinHandballPlayers|OlympicGoldMedalistsForYugoslavia|OlympicHandballPlayersOfYugoslavia|OlympicMedalistsInHandball|PeopleFromHercegNovi|YagoLegalActor},Gold Medalist
1957,Brigitte Latrille-Gaudin,{Bordeaux|France},NULL,Fencer,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|WomenFencers|CausalAgent100007347|Combatant109939313|Contestant109613191|Fencer110085217|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|YagoLegalActorGeo|FencersAtThe1976SummerOlympics|FencersAtThe1980SummerOlympics|FencersAtThe1984SummerOlympics|FencersAtThe1988SummerOlympics|FrenchFencers|PhysicalEntity100001930|Winner110782940|OlympicBronzeMedalistsForFrance|OlympicFencersOfFrance|OlympicGoldMedalistsForFrance|OlympicMedalistsInFencing|OlympicSilverMedalistsForFrance|PeopleFromBordeaux|YagoLegalActor},Gold Medalist
1957,Bruce Furniss,Fresno California,United States,American swimmer Olympic gold medalist former world record-holder,{agent|athlete|person|swimmer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|MaleFreestyleSwimmers|USCTrojansSwimmers|WorldAquaticsChampionshipsMedalistsInSwimming|AmericanSwimmers|Athlete109820263|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Swimmer110683349|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|SwimmersAtThe1976SummerOlympics|OlympicGoldMedalistsForTheUnitedStates|OlympicMedalistsInSwimming|OlympicSwimmersOfTheUnitedStates|YagoLegalActor},Gold Medalist
1957,Viktor Markin,NULL,NULL,Athletics (sport) competitor,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Runner110542888|Athlete109820263|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Sprinter110641413|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|RussianAthletes|SovietAthletes|Sprinters|OlympicAthletesOfTheSovietUnion|OlympicGoldMedalistsForTheSovietUnion|OlympicMedalistsInAthletics(trackAndField)|PeopleFromNovosibirskOblast|YagoLegalActor},Gold Medalist
1957,Viktor Tyumenev,NULL,NULL,Ice hockey player,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|HCSpartakMoscowPlayers|IceHockeyPlayersAtThe1984WinterOlympics|LivingPeople|Athlete109820263|CausalAgent100007347|Contestant109613191|HockeyPlayer110179291|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|SovietIceHockeyPlayers|OlympicGoldMedalistsForTheSovietUnion|OlympicIceHockeyPlayersOfTheSovietUnion|OlympicMedalistsInIceHockey|PeopleFromMoscow|YagoLegalActor},Gold Medalist
1957,Vladimir Alikin,NULL,NULL,Biathlete,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|OlympicGoldMedalistsForTheSovietUnion|OlympicMedalistsInBiathlon|OlympicSilverMedalistsForTheSovietUnion|YagoLegalActor},Gold Medalist
1957,Vladimir Kiselyov,NULL,NULL,Athletics (sport) competitor,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Athlete109820263|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|ShotPutter110593521|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|RussianShotPutters|SovietAthletes|OlympicAthletesOfTheSovietUnion|OlympicGoldMedalistsForTheSovietUnion|OlympicMedalistsInAthletics(trackAndField)|YagoLegalActor},Gold Medalist
1957,Vladimir Romanovsky,NULL,Soviet Union,Canoe racer,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Boatman109861946|Canoeist109891470|CanoeistsAtThe1976SummerOlympics|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|Worker109632518|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|RussianCanoeists|SovietCanoeists|OlympicCanoeistsOfTheSovietUnion|OlympicGoldMedalistsForTheSovietUnion|OlympicMedalistsInCanoeing|OlympicSilverMedalistsForTheSovietUnion|YagoLegalActor},Gold Medalist
1957,Vladimir Tkachenko,NULL,NULL,Basketball player,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|UkrainianBasketballPlayers|Athlete109820263|BasketballPlayer109842047|BasketballPlayersAtThe1976SummerOlympics|BasketballPlayersAtThe1980SummerOlympics|BasketballPlayersAtThe1988SummerOlympics|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|Whole100003553|YagoLegalActorGeo|EuroBasket-winningPlayers|PhysicalEntity100001930|Winner110782940|RussianBasketballPlayers|SovietBasketballPlayers|OlympicBasketballPlayersOfTheSovietUnion|OlympicGoldMedalistsForTheSovietUnion|OlympicMedalistsInBasketball|PBCCSKAMoscowPlayers|YagoLegalActor},Gold Medalist
1957,Vyacheslav Yanovskiy,NULL,Soviet Union,Belarusian boxer,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|HonouredMastersOfSportsOfTheUSSR|LivingPeople|Artist109812338|Athlete109820263|BelarusianBoxers|Boxer109870208|BoxersAtThe1988SummerOlympics|CausalAgent100007347|Combatant109939313|Contestant109613191|Creator109614315|LivingThing100004258|Maestro110280130|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|YagoLegalActorGeo|DynamoSportsSocietyAthletes|PhysicalEntity100001930|Winner110782940|RussianBoxers|SovietBoxers|OlympicBoxersOfTheSovietUnion|OlympicGoldMedalistsForTheSovietUnion|OlympicMedalistsInBoxing|PeopleFromVitebsk|YagoLegalActor},Gold Medalist
1957,Jean-Yves Le Déroff,NULL,NULL,Sailor,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Sailor110546633|SkilledWorker110605985|Whole100003553|Worker109632518|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|SailorsAtThe1988SummerOlympics|OlympicGoldMedalistsForFrance|OlympicMedalistsInSailing|OlympicSailorsOfFrance|YagoLegalActor},Gold Medalist
1957,Jeanne Flanagan,NULL,NULL,Former American Olympic rower.,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|AmericanRowers|Boatman109861946|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Oarsman110368920|Object100002684|Organism100004475|Person100007846|Whole100003553|Worker109632518|YagoLegalActorGeo|FemaleRowers|PhysicalEntity100001930|Winner110782940|RowersAtThe1984SummerOlympics|OlympicGoldMedalistsForTheUnitedStates|OlympicMedalistsInRowing|OlympicRowersOfTheUnitedStates|YagoLegalActor},Gold Medalist
1957,Jens Doberschütz,NULL,NULL,Rower,{agent|athlete|person|rower|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanRowers|LivingPeople|Boatman109861946|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Oarsman110368920|Object100002684|Organism100004475|Person100007846|Whole100003553|Worker109632518|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|RowersAtThe1980SummerOlympics|OlympicGoldMedalistsForEastGermany|OlympicMedalistsInRowing|OlympicRowersOfEastGermany|PeopleFromDresden|YagoLegalActor},Gold Medalist
1957,Jesper Bank,Fredericia,NULL,Olympic sailor,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Sailor110546633|SkilledWorker110605985|Whole100003553|Worker109632518|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|SailorsAtThe1988SummerOlympics|SailorsAtThe1992SummerOlympics|SailorsAtThe2000SummerOlympics|OlympicGoldMedalistsForDenmark|OlympicMedalistsInSailing|OlympicSailorsOfDenmark|YagoLegalActor},Gold Medalist
1957,Jim Craig (ice hockey),{Easton Massachusetts|Massachusetts|United States},NULL,American ice hockey goaltender,{agent|athlete|ice hockey player|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|IceHockeyPlayer|IceHockeyPeopleFromMassachusetts|LivingPeople|MinnesotaNorthStarsPlayers|AmericanIceHockeyGoaltenders|Athlete109820263|AtlantaFlamesPlayers|BostonBruinsPlayers|BostonUniversityTerriersMen'sIceHockeyPlayers|CausalAgent100007347|Contestant109613191|Goalkeeper110134001|HockeyPlayer110179291|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|SoccerPlayer110618342|Whole100003553|YagoLegalActorGeo|ErieBladesPlayers|PhysicalEntity100001930|Winner110782940|SaltLakeGoldenEagles(CHL)Players|OlympicGoldMedalistsForTheUnitedStates|OlympicIceHockeyPlayersOfTheUnitedStates|OlympicMedalistsInIceHockey|PeopleFromBristolCountyMassachusetts|YagoLegalActor},Gold Medalist
1957,Joan Benoit,Cape Elizabeth Maine,United States,American long-distance runner,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|MarathonRunners|Runner110542888|Alumnus109786338|AmericanLong-distanceRunners|Athlete109820263|BowdoinCollegeAlumni|CausalAgent100007347|Contestant109613191|Intellectual109621545|LivingThing100004258|Marathoner110292969|Medalist110305062|Object100002684|Organism100004475|Person100007846|Scholar110557854|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|OlympicGoldMedalistsForTheUnitedStates|OlympicMedalistsInAthletics(trackAndField)|PeopleFromCapeElizabethMaine|PeopleFromFreeportMaine|YagoLegalActor},Gold Medalist
1957,Allan Schofield,NULL,NULL,Field hockey player,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|IndianFieldHockeyPlayers|LivingPeople|Anglo-IndianPeople|Athlete109820263|CausalAgent100007347|Contestant109613191|HockeyPlayer110179291|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|Whole100003553|YagoLegalActorGeo|FieldHockeyPlayersAtThe1980SummerOlympics|PhysicalEntity100001930|Winner110782940|OlympicFieldHockeyPlayersOfIndia|OlympicGoldMedalistsForIndia|OlympicMedalistsInFieldHockey|YagoLegalActor},Gold Medalist
1957,Alwyn Morris,{Kahnawake|Montreal|Quebec},NULL,Canoe racer,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|MohawkPeople|Boatman109861946|CanadianCanoeists|Canoeist109891470|CanoeistsAtThe1984SummerOlympics|CanoeistsAtThe1988SummerOlympics|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|Worker109632518|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|OlympicBronzeMedalistsForCanada|OlympicCanoeistsOfCanada|OlympicGoldMedalistsForCanada|OlympicMedalistsInCanoeing|YagoLegalActor},Gold Medalist
1957,Andrea Kurth,NULL,NULL,Rower,{agent|athlete|person|rower|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanRowers|LivingPeople|Boatman109861946|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Oarsman110368920|Object100002684|Organism100004475|Person100007846|Whole100003553|Worker109632518|YagoLegalActorGeo|FemaleRowers|PhysicalEntity100001930|Winner110782940|RowersAtThe1976SummerOlympics|OlympicGoldMedalistsForEastGermany|OlympicMedalistsInRowing|OlympicRowersOfEastGermany|YagoLegalActor},Gold Medalist
1957,Andrei Bukin,Moscow,NULL,Figure skater,{agent|athlete|figure skater|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Athlete109820263|CausalAgent100007347|Contestant109613191|Dancer109989502|Entertainer109616922|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Performer110415638|Person100007846|Skater110604491|Whole100003553|YagoLegalActorGeo|FigureSkatersAtThe1980WinterOlympics|FigureSkatersAtThe1984WinterOlympics|FigureSkatersAtThe1988WinterOlympics|PhysicalEntity100001930|Winner110782940|RussianIceDancers|SovietIceDancers|OlympicFigureSkatersOfTheSovietUnion|OlympicGoldMedalistsForTheSovietUnion|OlympicMedalistsInFigureSkating|OlympicSilverMedalistsForTheSovietUnion|YagoLegalActor},Gold Medalist
1957,Fieke Boekhorst,NULL,NULL,Field hockey player,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Athlete109820263|CausalAgent100007347|Contestant109613191|HockeyPlayer110179291|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|Whole100003553|YagoLegalActorGeo|DutchFieldHockeyPlayers|FieldHockeyPlayersAtThe1984SummerOlympics|PhysicalEntity100001930|Winner110782940|OlympicFieldHockeyPlayersOfTheNetherlands|OlympicGoldMedalistsForTheNetherlands|OlympicMedalistsInFieldHockey|PeopleFromHelmond|YagoLegalActor},Gold Medalist
1957,Martin Cross,NULL,United Kingdom,Rower,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Boatman109861946|BritishRowers|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Oarsman110368920|Object100002684|Organism100004475|Person100007846|Rival110533013|Whole100003553|Worker109632518|YagoLegalActorGeo|CommonwealthGamesCompetitorsForEngland|CommonwealthGamesGoldMedallistsForEngland|PhysicalEntity100001930|Winner110782940|RowersAtThe1980SummerOlympics|RowersAtThe1984SummerOlympics|RowersAtThe1986CommonwealthGames|RowersAtThe1988SummerOlympics|RowersAtThe1992SummerOlympics|OlympicBronzeMedalistsForGreatBritain|OlympicGoldMedalistsForGreatBritain|OlympicMedalistsInRowing|OlympicRowersOfGreatBritain|PeopleFromLondon|YagoLegalActor},Gold Medalist
1957,Martina Bischof,NULL,NULL,Canoe racer,{agent|athlete|person|canoeist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanCanoeists|LivingPeople|Boatman109861946|Canoeist109891470|CanoeistsAtThe1980SummerOlympics|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|Worker109632518|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|OlympicCanoeistsOfEastGermany|OlympicGoldMedalistsForEastGermany|OlympicMedalistsInCanoeing|YagoLegalActor},Gold Medalist
1957,Martina Boesler,Berlin,NULL,Rower Rower,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanRowers|LivingPeople|Boatman109861946|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Oarsman110368920|Object100002684|Organism100004475|Person100007846|Whole100003553|Worker109632518|YagoLegalActorGeo|FemaleRowers|PhysicalEntity100001930|Winner110782940|RowersAtThe1980SummerOlympics|OlympicGoldMedalistsForEastGermany|OlympicMedalistsInRowing|OlympicRowersOfEastGermany|PeopleFromBerlin|YagoLegalActor},Gold Medalist
1957,Matt Vogel (swimmer),Fort Wayne Indiana,United States,American swimmer Olympic gold medalist,{agent|athlete|person|swimmer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|AmericanSwimmers|Athlete109820263|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Swimmer110683349|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|SwimmersAtThe1976SummerOlympics|OlympicGoldMedalistsForTheUnitedStates|OlympicMedalistsInSwimming|OlympicSwimmersOfTheUnitedStates|PeopleFromFortWayneIndiana|YagoLegalActor},Gold Medalist
1957,Nellie Kim,{Soviet Union|Tajik Soviet Socialist Republic|Shurab Tajikistan},NULL,Soviet gymnast,{agent|athlete|gymnast|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GymnastsAtThe1976SummerOlympics|GymnastsAtThe1980SummerOlympics|LivingPeople|MedalistsAtWorldGymnasticsChampionships|WorldChampionGymnasts|Athlete109820263|CausalAgent100007347|Contestant109613191|Gymnast110153594|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|RussianFemaleArtisticGymnasts|RussianPeopleOfKoreanDescent|RussianPeopleOfTatarDescent|SovietFemaleArtisticGymnasts|SpartakAthletes|OlympicGoldMedalistsForTheSovietUnion|OlympicGymnastsOfTheSovietUnion|OlympicMedalistsInGymnastics|OlympicSilverMedalistsForTheSovietUnion|PeopleFromSughdProvince|YagoLegalActor},Gold Medalist
