Year,Name,Birthplace,Nationality,Sport,Labels,Medal
1950,Yuliya Safina,NULL,Soviet Union,Handball player,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|HandballPlayersAtThe1980SummerOlympics|LivingPeople|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|RussianHandballPlayers|SovietHandballPlayers|OlympicGoldMedalistsForTheSovietUnion|OlympicHandballPlayersOfTheSovietUnion|OlympicMedalistsInHandball|YagoLegalActor},Gold Medalist
1950,Yuri Salnikov,NULL,Soviet Union,Equestrian,{agent|athlete|person|horse rider|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|CausalAgent100007347|Contestant109613191|Horseman110185793|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Rider110529965|Traveler109629752|Whole100003553|YagoLegalActorGeo|EquestriansAtThe1980SummerOlympics|EventRiders|PhysicalEntity100001930|Winner110782940|RussianEquestrians|SovietEquestrians|OlympicBronzeMedalistsForTheSovietUnion|OlympicEquestriansOfTheSovietUnion|OlympicGoldMedalistsForTheSovietUnion|OlympicMedalistsInEquestrian|YagoLegalActor},Gold Medalist
1950,Zdenko Zorko,NULL,NULL,Yugoslav handball player,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|HandballPlayersAtThe1972SummerOlympics|HandballPlayersAtThe1976SummerOlympics|LivingPeople|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|Whole100003553|YagoLegalActorGeo|CroatianHandballPlayers|PhysicalEntity100001930|Winner110782940|OlympicGoldMedalistsForYugoslavia|OlympicHandballPlayersOfYugoslavia|OlympicMedalistsInHandball|YagoLegalActor},Gold Medalist
1950,Zdravka Yordanova,NULL,NULL,Bulgarian rower,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Boatman109861946|BulgarianRowers|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Oarsman110368920|Object100002684|Organism100004475|Person100007846|Whole100003553|Worker109632518|YagoLegalActorGeo|FemaleRowers|PhysicalEntity100001930|Winner110782940|RowersAtThe1976SummerOlympics|OlympicGoldMedalistsForBulgaria|OlympicMedalistsInRowing|OlympicRowersOfBulgaria|YagoLegalActor},Gold Medalist
1950,Zdravko Miljak,NULL,NULL,Handball player,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|HandballPlayersAtThe1972SummerOlympics|HandballPlayersAtThe1976SummerOlympics|LivingPeople|YugoslavHandballPlayers|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|Whole100003553|YagoLegalActorGeo|CroatianHandballPlayers|PhysicalEntity100001930|Winner110782940|OlympicGoldMedalistsForYugoslavia|OlympicHandballPlayersOfYugoslavia|OlympicMedalistsInHandball|YagoLegalActor},Gold Medalist
1950,Zinaida Amosova,NULL,NULL,Cross-country skier,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|ArmedForcesSportsSocietyAthletes|Athlete109820263|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Skier110605253|Whole100003553|YagoLegalActorGeo|Cross-countrySkiersAtThe1976WinterOlympics|PhysicalEntity100001930|Winner110782940|SovietCross-countrySkiers|OlympicCross-countrySkiersOfTheSovietUnion|OlympicGoldMedalistsForTheSovietUnion|OlympicMedalistsInCross-countrySkiing|YagoLegalActor},Gold Medalist
1950,Galina Kreft,NULL,Soviet Union,Canoe racer,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Boatman109861946|Canoeist109891470|CanoeistsAtThe1976SummerOlympics|CanoeistsAtThe1980SummerOlympics|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|Worker109632518|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|RussianCanoeists|SovietCanoeists|OlympicCanoeistsOfTheSovietUnion|OlympicGoldMedalistsForTheSovietUnion|OlympicMedalistsInCanoeing|OlympicSilverMedalistsForTheSovietUnion|YagoLegalActor},Gold Medalist
1950,Gary Robertson (rower),NULL,NULL,Rower,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Boatman109861946|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Oarsman110368920|Object100002684|Organism100004475|Person100007846|Whole100003553|Worker109632518|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|RowersAtThe1972SummerOlympics|NewZealandRowers|OlympicGoldMedalistsForNewZealand|OlympicMedalistsInRowing|OlympicRowersOfNewZealand|PeopleFromOamaru|YagoLegalActor},Gold Medalist
1950,Gennadi Karponosov,Moscow,NULL,Figure skater,{agent|athlete|figure skater|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Athlete109820263|CausalAgent100007347|Contestant109613191|Dancer109989502|Entertainer109616922|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Performer110415638|Person100007846|Skater110604491|Whole100003553|YagoLegalActorGeo|DynamoSportsSocietyAthletes|FigureSkatersAtThe1976WinterOlympics|FigureSkatersAtThe1980WinterOlympics|PhysicalEntity100001930|Winner110782940|RussianIceDancers|SovietIceDancers|OlympicFigureSkatersOfTheSovietUnion|OlympicGoldMedalistsForTheSovietUnion|OlympicMedalistsInFigureSkating|YagoLegalActor},Gold Medalist
1950,Pertti Ukkola,NULL,NULL,Olympic wrestler,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|WrestlersAtThe1972SummerOlympics|WrestlersAtThe1976SummerOlympics|WrestlersAtThe1980SummerOlympics|CausalAgent100007347|Combatant109939313|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|Wrestler110793168|YagoLegalActorGeo|FinnishSportWrestlers|PhysicalEntity100001930|Winner110782940|OlympicGoldMedalistsForFinland|OlympicMedalistsInWrestling|OlympicWrestlersOfFinland|PeopleFromSodankyl%C3%A4|YagoLegalActor},Gold Medalist
1950,Dietmar Lorenz,Schleiz,NULL,Judoka,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|OlympicBronzeMedalistsForEastGermany|OlympicGoldMedalistsForEastGermany|OlympicMedalistsInJudo|PeopleFromSchleiz|YagoLegalActor},Gold Medalist
1950,Roland Matthes,{Thuringia|Pößneck},NULL,Swimmer,{agent|athlete|person|swimmer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanSwimmers|LivingPeople|MaleFreestyleSwimmers|WorldAquaticsChampionshipsMedalistsInSwimming|Athlete109820263|BackstrokeSwimmers|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Swimmer110683349|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|SwimmersAtThe1968SummerOlympics|SwimmersAtThe1972SummerOlympics|SwimmersAtThe1976SummerOlympics|OlympicBronzeMedalistsForEastGermany|OlympicGoldMedalistsForEastGermany|OlympicMedalistsInSwimming|OlympicSilverMedalistsForEastGermany|OlympicSwimmersOfEastGermany|PeopleFromSaale-Orla-Kreis|YagoLegalActor},Gold Medalist
1950,Rosi Mittermaier,{Bavaria|Reit im Winkl|West Germany},NULL,Alpine skier,{agent|athlete|person|skier|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanFemaleAlpineSkiers|LivingPeople|AlpineSkiersAtThe1972WinterOlympics|AlpineSkiersAtThe1976WinterOlympics|Athlete109820263|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Skier110605253|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|OlympicAlpineSkiersOfWestGermany|OlympicGoldMedalistsForWestGermany|OlympicMedalistsInAlpineSkiing|OlympicSilverMedalistsForWestGermany|PeopleFromTraunstein(district)|YagoLegalActor},Gold Medalist
1950,Ryszard Bosek,{Poland|Kamienna Góra},NULL,Volleyball player,{agent|athlete|person|volleyball player|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|VolleyballCoaches|VolleyballPlayersAtThe1972SummerOlympics|VolleyballPlayersAtThe1976SummerOlympics|VolleyballPlayersAtThe1980SummerOlympics|CausalAgent100007347|Coach109931640|Contestant109613191|Leader109623038|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|Trainer110722575|VolleyballPlayer110759047|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|OlympicGoldMedalistsForPoland|OlympicMedalistsInVolleyball|OlympicVolleyballPlayersOfPoland|PolishVolleyballPlayers|YagoLegalActor},Gold Medalist
1950,Miloslava Rezková,NULL,NULL,Athletics (sport) competitor,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Athlete109820263|CausalAgent100007347|Contestant109613191|Jumper110226993|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|YagoLegalActorGeo|CzechHighJumpers|CzechoslovakAthletes|PhysicalEntity100001930|Winner110782940|OlympicAthletesOfCzechoslovakia|OlympicGoldMedalistsForCzechoslovakia|OlympicMedalistsInAthletics(trackAndField)|PeopleFromPrague|YagoLegalActor},Gold Medalist
1950,Shamil Khisamutdinov,NULL,Soviet Union,Russian wrestler,{agent|athlete|person|wrestler|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|WrestlersAtThe1972SummerOlympics|CausalAgent100007347|Combatant109939313|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|Wrestler110793168|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|RussianSportWrestlers|SovietSportWrestlers|OlympicGoldMedalistsForTheSovietUnion|OlympicMedalistsInWrestling|OlympicWrestlersOfTheSovietUnion|YagoLegalActor},Gold Medalist
1950,Shota Chochishvili,NULL,Soviet Union,Judoka,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|OlympicBronzeMedalistsForTheSovietUnion|OlympicGoldMedalistsForTheSovietUnion|OlympicMedalistsInJudo|YagoLegalActor},Gold Medalist
1950,Shun Fujimoto,NULL,NULL,Gymnast,{agent|athlete|gymnast|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GymnastsAtThe1976SummerOlympics|JapaneseMaleArtisticGymnasts|LivingPeople|Alumnus109786338|Athlete109820263|CausalAgent100007347|Contestant109613191|Gymnast110153594|Intellectual109621545|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Scholar110557854|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|NipponSportScienceUniversityAlumni|OlympicGoldMedalistsForJapan|OlympicGymnastsOfJapan|OlympicMedalistsInGymnastics|YagoLegalActor},Gold Medalist
1950,Siegbert Horn,NULL,NULL,Canoe racer,{agent|athlete|person|canoeist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanCanoeists|LivingPeople|Boatman109861946|Canoeist109891470|CanoeistsAtThe1972SummerOlympics|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|Worker109632518|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|OlympicCanoeistsOfEastGermany|OlympicGoldMedalistsForEastGermany|OlympicMedalistsInCanoeing|PeopleFromL%C3%BCbben(Spreewald)|YagoLegalActor},Gold Medalist
