name,nationality,sport
Władysław Stecyk,Radów,Olympic wrestler
Joachim Streich,{East Germany|Wismar},East German footballer
Anatoly Alyabyev,NULL,Soviet biathlete
Lidiya Krylova,NULL,Rower
Lieuwe de Boer,Netherlands,Speed skater
Lorenzo Martínez,NULL,Volleyball player
Francis Kerbiriou,NULL,French athlete
Nicolae Munteanu,NULL,Handball player
Nicolae Pop,NULL,Volleyball player
Nobutaka Taguchi,NULL,Japanese swimmer
Ildikó Schwarczenberger,Hungary,Hungarian fencer
Ilona Nagy,Budapest,Hungarian handball player
Imre Gedővári,Hungary,Hungarian fencer
Clarence Hill,NULL,Boxer
Samiullah Khan,NULL,Pakistani field hockey player
Satymkul Dzhumanazarov,NULL,Athletics (sport) competitor
Colleen O'Connor,Chicago,Figure skater
Constantin Sterea,Romania,Volleyball player
Kathy Hammond,NULL,Athletics (sport) competitor
Ivan Burtchin,NULL,Canoe racer
Jörg Puttlitz,NULL,Rower
Elisabeth Demleitner,NULL,Luger
Ellen Streidt,NULL,German sprinter
Erik Fish,NULL,Swimmer
Tom McBreen,Spokane Washington,American swimmer Olympic gold medalist former world record-holder
Ludmilla Tourischeva,Soviet Union,Gymnast
Lynn Vidali,San Francisco,American swimmer Olympic silver medalist former world record-holder
Lyudmila Maslakova,NULL,Athletics (sport) competitor
Mária Zakariás,NULL,Hungarian canoeist
Márta Megyeri,NULL,Handball player
Magdalena Wunderlich,NULL,German canoeist
Yelena Antonova,NULL,Olympic rowers of the Soviet Union
Yuri Lobanov,Soviet Union,Canoe racer
Patrick Sweeney,NULL,Rower
Paul-Heinz Wellmann,NULL,German middle distance runner
Rudolf Nébald,Hungary,Hungarian fencer
Mikko Huhtala,NULL,Olympic wrestler
Ton Buunk,Amsterdam,Water polo player
Tsvetana Bozhurina,NULL,Volleyball player
Ute Hommola,NULL,German javelin thrower
Valeriy Podluzhniy,NULL,Athletics (sport) competitor
Steve Furniss,Madison Wisconsin,American swimmer Olympic bronze medalist former world record-holder
Heinz Stettler,NULL,Swiss bobsledder
Klaus-Peter Hildenbrand,NULL,Athletics (sport) competitor
Larion Serghei,NULL,Canoe racer
Lars-Erik Skiöld,Malmö,Olympic wrestler
Marion Tietz,NULL,Handball player
James McEwan,NULL,Canoe racer
Julie Staver,United States,Field hockey player
Athol Earl,NULL,Rower
Angela Coughlan,{London|London Ontario},Canadian swimmer
Oleh Blokhin,Soviet Union,footballer
Ralph Kubail,NULL,Rower
Reinhard Häfner,{East Germany|Sonneberg},German footballer and manager
Peter Westbrook,United States,Fencer
Phil Monckton,NULL,Rower
Pietro Mennea,Italy,Athletics (sport) competitor sprinter
Preben Krab,NULL,Rower
Aleksandr Yelizarov,NULL,Soviet biathlete
Alfred Kałuziński,Kraków,Polish handball player
Susan Shields,Erie Pennsylvania,American swimmer Olympic bronze medalist
Tamás Buday,NULL,Canoe racer
Tamás Faragó,NULL,Water polo player
Tatyana Prorochenko,NULL,Athletics (sport) competitor
Terje Andersen,NULL,Speed skater
George Turpin,United Kingdom,Boxer
Vera Anisimova,NULL,Soviet sprinter
Viacheslav Lampeev,Soviet Union,Field hockey player
Viktor Savchenko,Soviet Union,Boxer
Joachim Dreifke,NULL,Rower
Alfredo Figueredo,Cuba,Volleyball player
András Botos,NULL,Boxer
Nikolai Andrianov,Soviet Union,Gymnast
Charlie Spedding,NULL,British athlete
Christina Rost,NULL,Handball player
Clemente Rojas,NULL,Boxer
Wendy Turnbull,Brisbane,Tennis player
Werner Stöckl,NULL,Handball player
Willi Frommelt,NULL,Alpine skier
Cynthia Neale-Ishoy,{Alberta|Edmonton},Olympic medalist in equestrian
Karin Büttner-Janz,Lübben (Spreewald),Gymnast
Kent Massey,United States,Sailor
Jürgen Pommerenke,{East Germany|Wegeleben},German footballer and manager
Erzsébet Csajbók,NULL,Handball player
Thomas Strauß,NULL,Rower
Luis Gregorio Ramos,NULL,Canoe racer
Manfred Beer,NULL,German biathlete
Yuri Gavrilov,{Russian Soviet Federative Socialist Republic|Moscow Oblast|Odintsovsky District},Russian footballer
Zoran Pančić,Yugoslavia,Rower
Gail Ricketson,Plattsburgh (city) New York,Olympic medalist in rowing
Patrick Cowdell,NULL,Boxer
Pavel Pavlov,NULL,Olympic wrestler
Rolf Danneberg,NULL,German discus thrower
Milorad Stanulov,NULL,Rower
Ulrike Bruns,Cottbus,German middle distance runner
Valeri Belyakov,Soviet Union,Field hockey player
Valeri Dolinin,Saint Petersburg,Rower
Hans Rinn,NULL,Luger
Harald Stenvaag,NULL,Sport shooter
Henry Glaß,NULL,Ski jumper
Klára Rajnai,NULL,Canoe racer
Maria Micşa,NULL,Rower
Janet Lynn,NULL,Figure skater
Jean-Blaise Evéquoz,NULL,Fencer
Dwight Stones,{California|Los Angeles},Athletics (sport) competitor high jumper track and field commentator
Elfi Zinn,NULL,East german middle distance runner
Juan Paredes,NULL,Boxer
Kaarlo Maaninka,NULL,Athletics (sport) competitor
Axel Tyll,{Magdeburg|East Germany national football team},German footballer
Ayhan Taşkın,NULL,Olympic wrestler
Angelo Parisi,Italy,Olympic Judoka
Aramby Emizh,Soviet Union,Judoka
Oszkár Frey,NULL,Canoe racer
Ralph Evans,United Kingdom,Boxer
Raul Arnemann,NULL,Rower
Aleksandr Prokopenko,{Byelorussian Soviet Socialist Republic|Babruysk},Association footballer
Alexandr Romankov,Soviet Union,Soviet fencer
Robert Espeseth,NULL,Olympic medalists in rowing
Tatyana Providokhina,NULL,Athletics (sport) competitor
Nadezhda Sevostyanova,NULL,Rower
Bruce Robertson,Canada,Canadian swimmer
Valter Chifu,NULL,Volleyball player
Vassily Solomin,NULL,Boxer
Vladimir Kolev,NULL,Boxer
Vladimir Lobanov,NULL,Speed skater
Jerzy Klempel,NULL,Polish handball player
Jerzy Rybicki,NULL,Polish boxer
Jesús Savigne,NULL,Volleyball player
Jo Hea-Jung,NULL,Volleyball player
Andreas Kirchner,Erlbach-Kirchberg,Bobsledder
Leif Holmgren,Sweden,Swedish ice hockey player
Leonid Buryak,Soviet Union,Footballer
