name,nationality,sport
Yaw Preko,Ghana,Ghanian footballer
Ye Zhaoying,{Hangzhou|Zhejiang},Chinese badminton player
Zali Steggall,NULL,Alpine skier
Zsolt Erdei,Hungary,Boxer
Franziska Schenk,NULL,Speed skater
Géza Imre,Hungary,Hungarian Olympic Fencer
Gary Hall Jr.,Cincinnati,American swimmer Olympic gold medalist former world record-holder
Paul Manning,England,English racing cyclist
Pavel Vladimirovich Melnikov,NULL,Rower
Diana Goustilina,NULL,Basketball player
Diego Romero,NULL,Sailor
Dillianne van den Boogaard,NULL,Field hockey player
Dimitri Lykin,NULL,Sport shooter
Dmitri Rozinkevich,NULL,Rower
Dmitri Sautin,Voronezh,Diver
Donovan Cech,NULL,South African rower
Ronaldo Guiaro,Brazil,Brazilian footballer
Sávio,Brazil,Brazilian footballer
Michael Kolganov,NULL,Canoe racer
Michelle Chandler,NULL,Basketball player
Mijntje Donners,NULL,Field hockey player
Mindaugas Timinskas,Soviet Union,Basketball player
Tricia Dunn-Luoma,United States,Ice hockey player
Tuomas Grönman,Finland,Finnish ice hockey player
Utkirbek Haydarov,Uzbekistan,Boxer
Valentina Vezzali,Italy,Fencer
Valeri Bure,Soviet Union,Ice hockey player
Serena Amato,NULL,Sailor
Sergei Garbuzov,NULL,Water polo player
Sergei Gonchar,Soviet Union,Ice hockey defenceman
Sergey Pogorelov,NULL,Handball player
Sergey Sharikov,Russia,Fencer
Sergey Verlin,NULL,Canoe racer
Sergi Escobar,Spain,Spanish racing cyclist
Sevdalin Minchev,NULL,Weightlifter
Simon Addo,NULL,Association footballer
Simon Terry,NULL,Archer
Siniša Skelin,NULL,Rower
Stefan Kobel,NULL,Volleyball player
Stefan Uteß,NULL,Canoe racer
Stephen Holt,NULL,Field hockey player
Kirstin Normand,NULL,Synchronized swimmer
Kjersti Thun,NULL,Association footballer
Kris Benson,Superior Wisconsin,Baseball player
Kristine Duvholt Havnås,NULL,Handball player
Krisztián Bártfai,NULL,Canoe racer
Krisztina Egerszegi,Budapest,Swimmer
Lascelles Brown,Jamaica,Bobsledder
Manolo Poulot,NULL,Judoka
Manuela Lutze,NULL,Rower
Marco Geisler,NULL,Rower
Marek Witkowski,NULL,Polish canoeist
Margaretha Lindahl,NULL,Curler
Margje Teeuwen,NULL,Field hockey player
Maria Koroleva,NULL,Water polo player
Marisabel Lomba,NULL,Judoka
Jane Saville,NULL,Athletics (sport) competitor
Jaroslav Špaček,Czechoslovakia,Ice hockey player
Jason Williams,United States,Baseball player
Elbrus Tedeyev,NULL,Olympic wrestler
Elena Smurova,NULL,Water polo player
Elena Tokun,NULL,Water polo player
Jozef Gönci,NULL,Sport shooter
Juan Pérez,NULL,Handball player
Jugoslav Vasović,NULL,Water polo player
Juha Lind,Finland,Finnish ice hockey player
Julien Robert,NULL,French biathlete
Junko Onishi,NULL,Swimmer
Attila Czene,{Szeged|Csongrád},Swimmer
Augie Ojeda,Los Angeles,Baseball player
Beata Sokołowska-Kulesza,NULL,Polish canoeist
Armen Nazaryan,Armenia,Olympic wrestler
Armin Zöggeler,Italy,Luger
Oksana Dorodnova,NULL,Rower
Ole Einar Bjørndalen,Norway,Norwegian biathlete and Olympian
Oleg Kuleshov,Soviet Union,Handball player
Oleg Saitov,Soviet Union,Boxer
Oliver Lampe,NULL,Swimmer
Päivi Salo,NULL,Ice hockey player
Paola Vukojicic,NULL,Field hockey player
Raimkul Malakhbekov,Soviet Union,Boxer
Raphaël Poirée,Rives Isère,French biathlete
René Sommerfeldt,{East Germany|Zittau},Cross-country skier
Pietro Piller Cottrer,NULL,Cross-country skier
Pornchai Thongburan,Thailand,Boxer
Alberto Angelini,Italy,Water polo player Olympic bronze 1996
Aleksandr Kostoglod,NULL,Canoe racer
Alexandr Zubkov,Bratsk,Bobsledder
Alexei Aidarov,NULL,Biathlete
Sue Fairhurst,NULL,Softball player
Sun Fuming,NULL,Judoka
Daniel Sproule,NULL,Field hockey player
Darryn Hill,Australia,Racing cyclist
Deborah Gravenstijn,NULL,Judoka
Gete Wami,Ethiopia,Ethiopian long-distance runner
Giorgi Vazagashvili,NULL,Judoka
Miya Tachibana,NULL,Synchronized swimmer
Mogamed Ibragimov,Russia,Olympic wrestler
Movlud Miraliyev,NULL,Judoka
Bernard Lagat,Kenya,Kenyan-born track runner competing for United States
Billy Koch,Rockville Centre New York,Baseball player
Braden Looper,{Oklahoma|Weatherford Oklahoma},starting pitcher in Major League Baseball
Branimir Vujević,NULL,Rower
Brian Martin,NULL,American luger
Brooke Wilkins,NULL,Softball player
Viktors Ščerbatihs,NULL,Weightlifter
Jesús Fernández,NULL,Handball player
Alisa Camplin,NULL,Freestyle skier
Amarilis Savón,NULL,Judoka
André Luiz Moreira,Brazil,Association footballer
Andreas Schifferer,NULL,Alpine skier
Andrejus Zadneprovskis,NULL,Lithuanian modern pentathlete
Andrey Korneyev,Russia,Swimmer
Lincoln McIlravy,United States,Olympic wrestler
Liv Grete Skjelbreid Poirée,Norway,Norwegian biathlete
Fan Bin,NULL,A retired Chinese Olympic gymnast
Fernando Scherer,{Florianópolis|Santa Catarina (state)},Swimmer
Fethi Missaoui,NULL,Boxer
Flávio Conceição,Brazil,Brazilian footballer
Flandy Limpele,Manado,Badminton player
Florence Baverel-Robert,{Doubs|Pontarlier},French biathlete
Florin Popescu,NULL,Canoe racer
Martin Annen,NULL,Bobsledder
Martin Höllwarth,NULL,Ski jumper
Masahide Kobayashi,NULL,Baseball player
Maurice Greene,United States,America athlete Olympic medalist
Maurizio Margaglio,NULL,Italian ice dancer
Melanie Hoffmann,{West Germany|Haan},Professional football player
Nenad Vukanić,NULL,Water polo player
Nicole Brandebusemeyer,{West Germany|Georgsmarienhütte},Association footballer
Nii Lamptey,Ghana,Ghanaian footballer
Nikola Kuljača,NULL,Water polo player
Nikole Mitchell,NULL,Athletics (sport) competitor
Hiroyasu Shimizu,NULL,Speed skater
Hitoki Iwase,NULL,Baseball player
Hitoshi Uematsu,NULL,Short track speed skater
Hurnet Dekkers,NULL,Rower
Christian Ahlmann,Marl North Rhine-Westphalia,Equestrian
Claudia Müller,NULL,Association footballer
Saku Koivu,Finland,Finnish ice hockey player
Sami Salo,Finland,Ice hockey player
Sandra Völker,{Lübeck|Schleswig-Holstein},Swimmer
Adam Seroczyński,NULL,Polish canoeist
Aimo Heilmann,NULL,Swimmer
Dörte Lindner,NULL,Diver
Dainius Adomaitis,Soviet Union,Lithuanian basketball player
Jon Beare,{Ontario|Toronto},Rower
Kari Traa,NULL,Freestyle skier
Karin Moroder,NULL,Cross-country skier
Karina Aznavourian,Azerbaijan,Fencer
Kate Allenby,{Devon|Tavistock Devon},Pentathlete and teacher
Katharine Merry,{Dunchurch|Warwickshire},British 400m runner
Kelly Fraga,Brazil,Olympic volleyball player
Kevin Overland,NULL,Speed skater
Khatuna Lorig,Soviet Union,Archer
Àlex Corretja,Barcelona,Tennis player
Irina Fedotova,NULL,Rower
Isolde Kostner,Italy,Alpine skier
Ivo Yanakiev,NULL,Bulgarian rower
Iwona Marcinkiewicz,Poland,Polish archer
Jacque Jones,San Diego,Baseball player
Elise Laverick,United Kingdom,Rower
Emmanuel Hostache,NULL,French bobsledder
Erben Wennemars,Netherlands,Speed skater
Ester Workel,NULL,Dutch rower
Thobias Fredriksson,Dals Rostock,Cross-country skier
Thomas Ulrich,NULL,Boxer
Lucia Morico,NULL,Judoka
Luigi Mastrangelo,Italy,Volleyball player
Luiz Bombonato Goulart,Brazil,Brazilian footballer
Makoto Kaneko,Japan,Baseball player
Gunilla Andersson,Sweden,Swedish ice hockey player
Winarni Binti Slamet,NULL,Weightlifter
Ylenia Scapin,NULL,Judoka
Yoshinobu Takahashi,NULL,Baseball player
Frantz Kruger,NULL,Athletics (sport) competitor
Gabriela Szabo,NULL,Athletics (sport) competitor
Gal Fridman,Israel,Israeli windsurfer
Galina Rytova,NULL,Water polo player
Paul Gaudoin,NULL,Field hockey player
Demetrio Lozano,Alcalá de Henares,Handball player
Dennis van der Geest,NULL,Judoka
Denys Hotfrid,NULL,Weightlifter
Diadenis Luna,NULL,Judoka
Dmitri Stratan,Lviv,Water polo player
Dorjpalamyn Narmandakh,NULL,Judoka
Rustamhodza Rahimov,NULL,Boxer
Ryoko Tani,Japan,Judoka
Michael Brennan,NULL,Australian field hockey player
Michael McDonald,NULL,Athletics (sport) competitor
Mindaugas Žukauskas,{Šiauliai|Lithuanian Soviet Socialist Republic},Lithuanian basketball player
Tomas Masiulis,Soviet Union,Basketball player
Tone Gunn Frustøl,Asker,Association footballer
Toni Nieminen,NULL,Ski jumper
Tonje Larsen,Norway,Handball player
Torsten Spanneberg,{Saxony-Anhalt|Halle (Saale)},Swimmer
Tracy Cameron,Shubenacadie Nova Scotia,Rower
Travis Lee,San Diego,Baseball player
Václav Prospal,Czechoslovakia,Ice hockey player
Sergei Aschwanden,NULL,Judoka
Sergey Tetyukhin,Soviet Union,Volleyball player
Seth Greisinger,Kansas City Kansas,American baseball player
Siegfried Grabner,NULL,Snowboarder
Silvia Andrea Santos Luz,NULL,Basketball player
Simone Cercato,NULL,Swimmer
Henadzi Aliashchuk,NULL,Weightlifter
Kirsten van der Kolk,NULL,Rower
Koji Uehara,Neyagawa Osaka,Baseball player
Marc Gagnon,NULL,Short track speed skater
Marco Kutscher,{West Germany|Norden Lower Saxony},Equestrian
Marek Malík,Czechoslovakia,Ice hockey player
Marianne Pettersen,Norway,Association footballer
Mariela Antoniska,NULL,Field hockey player
Marika Lehtimäki,NULL,Ice hockey player
Marina Akobiya,Volgograd,Water polo player
Marina Anissina,Moscow,Ice dancer
Marius Urzică,NULL,Gymnast
Mark Kotsay,Whittier California,Baseball player
Jarkko Ruutu,Finland,Ice hockey player
Jason Lezak,Irvine California,American international swimmer Olympic gold medalist
Jason Turner,Rochester New York,Sport shooter
Javier Conte,NULL,Sailor
Eduard Koksharov,NULL,Handball player
Elena Grushina,Odessa,Ukrainian ice dancer
Elena Radu,NULL,Canoe racer
Ayelén Stepnik,Rosario Santa Fe,Field hockey player
Bair Badënov,NULL,Archer
Ann-Louise Edstrand,NULL,Swedish ice hockey player
Anne Montminy,NULL,Diver
Antonella Confortola Wyatt,NULL,Competitive cross-country skier
Oleg Kiryukhin,{Donetsk Oblast|Mariupol},Boxer
Oleg Perepetchenov,Soviet Union,Weightlifter
Olena Tsygitsa,NULL,Handball player
Olga Medvedtseva,Soviet Union,Russian biathlete
Oli Rahman,NULL,Ghanaian footballer
Pablo Chacón,{Mendoza Province|Las Heras Mendoza},Boxer
Ramon di Clemente,NULL,South African rower
Rebecca Jasontek,NULL,Synchronized swimmer
Renate Götschl,Judenburg,Austrian alpine skier
Renate Lingor,{West Germany|Karlsruhe},Association football player
Ricardo Santos,Salvador Bahia,Volleyball player
Petr Čajánek,Czechoslovakia,Czech ice hockey player
Petria Thomas,{New South Wales|Lismore New South Wales},Swimmer
Pia Wunderlich,{Bad Berleburg|West Germany},German footballer
Princess Nathalie of Sayn-Wittgenstein-Berleburg,Denmark,Danish royalty and equestrian
Albert Costa,Lleida,Tennis player
Aleksandr Vladimirovich Kovalyov,NULL,Canoe racer
Aleksey Glushkov,NULL,Olympic wrestler
Alessandro Calcaterra,NULL,Water polo player
Alexander Maletin,NULL,Boxer
Svetlana Kuzina,NULL,Water polo player
Sylvie Becaert,NULL,French biathlete
Tamara Davydenko,NULL,Rower
Tang Yongshu,NULL,Badminton player
Tatiana Lysenko,Ukraine,Gymnast
Tatsiana Stukalava,NULL,Weightlifter
Daniel Kowalski,Singapore,Swimmer
Daniel Santos,San Juan Puerto Rico,Puerto Rican boxer
Daniel Strigel,Germany,Fencer
David Výborný,Czechoslovakia,Ice hockey player
Dejan Savić,Serbia,Water polo player
Deji Aliu,Nigeria,Nigerian sprinter
Giorgi Asanidze,NULL,Weightlifter
Mohamed Bahari,Sidi Bel Abbès,Boxer
Mohammed Gargo,Ghana,Ghanaian footballer
Myriam Lignot,Laon,Synchronized swimmer
Myrna Veenstra,Netherlands,Field hockey player
Naoyuki Shimizu,Kyoto,Baseball player
Natalia Kutuzova,NULL,Water polo player
Natalie Cook,{Townsville|Queensland},Volleyball player
Natalie Titcume,NULL,Softball player
Natalie Ward,NULL,Softball player
Nataliya Borysenko,NULL,Handball player
Björn Emmerling,NULL,Field hockey player
Björn Michel,NULL,Olympic medalist
Brandon Knight,Oxnard California,Baseball player
Vasilij Žbogar,NULL,Slovenia sports sailor
Viachaslau Makaranka,NULL,Olympic wrestler
Viorica Susanu,NULL,Rower
Alfredo Rota,Italy,Fencer
Allen Iverson,{Virginia|Hampton Virginia},Basketball player
Andreas Klöden,Germany,Road bicycle racer
Li Jiajun,NULL,Short track speed skater
Linden Wiesman,Columbia Tennessee,American equestrian
Lise Mackie,New Zealand,Swimmer
Liu Yuxiang,NULL,Judoka
Fabricio Oberto,Córdoba Province Argentina,Professional basketball player
Flávio Canto,NULL,Judoka
Mateusz Kusznierewicz,NULL,Polish yacht racer
Matthew Long,Australia,Rower
Mayumi Yamashita,NULL,Japanese judoka
Mercedes Margalot,NULL,Field hockey player
Nicole Herschmann,Rudolstadt,Bobsledder
Nikki Ziegelmeyer,NULL,American speed skaters
Hilde Gerg,Lenggries,Alpine skier
Hiroki Kuroda,Japan,Baseball player
Chikara Tanabe,NULL,Olympic wrestler
Christian Schulte,NULL,Olympic medalist
Christina Otzen,NULL,Sailor
Cláudia das Neves,NULL,Basketball player
Salvatore Amitrano,NULL,Rower
Salvatore Sanzo,Italy,Fencer
Scott Miller,Australia,Swimmer
Carl Verheijen,Netherlands,Dutch speed skater
Carla Boyd,NULL,Basketball player
Cecilie Leganger,NULL,Handball player
Damien Touya,France,Fencer
Karnam Malleswari,{Andhra Pradesh|Srikakulam},Weightlifter
Katie King-Crowley,NULL,American ice hockey player
Katja Koren,NULL,Alpine skier
Katrin Rutschow-Stomporowski,Waren (Müritz),German rower
Kim Dong-moon,{South Jeolla Province|Gokseong County},male badminton player from South Korea
Kim Moo-Kyo,NULL,Table tennis player
Kimmo Timonen,Finland,Ice hockey player
Kip Harkrider,United States,Baseball player
Iryna Yanovych,Russia,Ukrainian cyclist
Iván Fundora,NULL,Olympic wrestler
Elisabeth Hilmo,NULL,Handball player
Therese Torgersson,NULL,Sailor
Tim Duncan,{United States Virgin Islands|Christiansted United States Virgin Islands},American basketball player
Tomáš Vokoun,Czechoslovakia,Ice hockey player
Louise Jöhncke,Stockholm,Swimmer
Graeme Smith,{Scotland|Falkirk},Scottish swimmer
Hadi Saei,NULL,Taekwondo practitioner
Yang Shaoqi,NULL,Fencer
Yang Yang,China,Short track speed skater
Yegor Podomatsky,Soviet Union,Ice hockey goaltender
Yevgeniya Medvedeva,NULL,Cross-country skier
Ylva Lindberg,NULL,Swedish ice hockey player
Yuliya Chepalova,NULL,Cross-country skier
Zé Elias,Brazil,Brazilian footballer
Zoila Barros,Cuba,Female cuban volleyball player
Fuad Aslanov,NULL,Boxer
Galyna Markushevska,NULL,Handball player
Ganna Siukalo,NULL,Handball player
Ganna Sorokina,NULL,Diver
Patrick Heuscher,NULL,Volleyball player
Patrik Eliáš,Czechoslovakia,Czech ice hockey player
Denis Šefik,NULL,Water polo player
Diana Žiliūtė,{Lithuanian Soviet Socialist Republic|Rietavas},Racing cyclist
Dmitry Debelka,NULL,Olympic wrestler
Dominique Dawes,Silver Spring Maryland,American gymnast
Ronaldo,{Rio de Janeiro|Bento Ribeiro Rio de Janeiro|Brazil national football team},footballer
Ryoji Aikawa,NULL,Baseball player
Søren Madsen,NULL,Rower
Michael Blackwood,Jamaica,Jamaican sprint athlete
Michel López Núñez,Pinar del Río,Boxer
Michele Frangilli,NULL,Archer
Miguel Martinez,France,French racing cyclist
Miho Takeda,NULL,Synchronized swimmer
Miikka Kiprusoff,Finland,Ice hockey player
Mike Koplove,Philadelphia,Baseball player
Milan Hejduk,Czechoslovakia,Ice hockey player
Troy Glaus,NULL,American professional baseball player
Uchenna Emedolu,NULL,Nigerian sprinter
Valentina Popova,NULL,Weightlifter
Sedat Artuç,{Oltu|Erzurum Province},Weightlifter
Selina Follas,NULL,Softball player
Sergey Kazakov,{Ulyanovsk|Dimitrovgrad},Boxer
Sergey Mihaylov,Uzbekistan,Boxer
Simmone Morrow,NULL,Softball player
Simone Rosalba,NULL,Volleyball player
Steven Dewick,Australia,Australian swimmer
Heiko Meyer,NULL,Diver
Kirsi Hänninen,NULL,Ice hockey player
Kirsten Vlieghuis,NULL,Swimmer
Kristina Groves,{Alberta|Ontario|Ottawa|Calgary},Canadian speed skater
Lars Kober,NULL,Canoe racer
Marek Jiras,Prague,Canoe racer
Maria Feklistova,NULL,Sport shooter
Mariana González Oliva,NULL,Field hockey player
Eirik Verås Larsen,NULL,Canoe racer
Ekaterina Aleksandrovna Vasilieva,NULL,Water polo player
Juan de la Fuente,NULL,Sailor
Juri Takayama,NULL,Softball player
Kęstutis Marčiulionis,NULL,Basketball player
Kajsa Bergqvist,{Sollentuna Municipality|Stockholm County},Athletics (sport) competitor
Artiom Kiouregkian,NULL,Olympic wrestler
Audun Grønvold,NULL,Freestyle skier
Baeden Choppy,NULL,Field hockey player
Anier García,Cuba,Cuban hurdler
Anita Nall,Harrisburg Pennsylvania,American swimmer Olympic gold medalist former world record-holder
Anna-Maria Gradante,NULL,Judoka
Anna Ottosson,NULL,Swedish alpine skier
Anton Chermashentsev,NULL,Rower
Antonio Ugalde,NULL,Handball player
Arsen Melikyan,Armenia,Weightlifter
Obadele Thompson,Barbados,Barbadian track and field sprinter
Oleg Tverdovsky,Soviet Union,Ice hockey player
Olga Kotlyarova,NULL,Athletics (sport) competitor
Oxana Rakhmatulina,NULL,Basketball player
Paola Suárez,Pergamino,Argentine tennis player
Ra Kyung-min,NULL,female badminton player from South Korea
Rhoshii Wells,NULL,Boxer
Alberto Entrerríos,Spain,Handball player
Albina Akhatova,NULL,Biathlete
Aleksei Budõlin,NULL,Judoka
Aleksey Kazakov,NULL,Volleyball player
Alenka Dovžan,NULL,Alpine skier
Alessio Sartori,NULL,Italian 2000 Olympics gold quad sculls 2004 double sculls bronze
Alexei Nemov,{Mordovia|Tengushevsky District|Barashevo},Gymnast
Roar Ljøkelsøy,Norway,Norwegian  ski jumper
Tae Satoya,NULL,Freestyle skier
Tania Vicent,{Laval Quebec|Quebec},Short track speed skater
Tatiana Gutsu,Odessa,Gymnast
Tatyana Kotova,{Uzbek Soviet Socialist Republic|Kokand},Athletics (sport) competitor
Tatyana Lebedeva,Sterlitamak,Russian triple jumper and long jumper
Tea Donguzashvili,NULL,Judoka
Terrance Cauthen,NULL,Terrance currently is still boxing while raising a family and working two jobs.
Fabio Bencivenga,NULL,Water polo player
Danilo Ikodinović,Serbia,Water polo player
Danny Markov,Soviet Union,Ice hockey player
Davian Clarke,NULL,Athletics (sport) competitor
David Davis,Spain,Handball player
Debbie Ferguson-McKenzie,NULL,Athletics (sport) competitor
Georgeta Damian,NULL,Rower
Gleb Pisarevskiy,NULL,Weightlifter
Nataliya Lyapina,NULL,Handball player
Bob de Jong,Netherlands,Dutch speed skater
Bradley McGee,Australia,Racing cyclist
Brent Livermore,NULL,Field hockey player
Bryan Volpenhein,United States,Rower
Vasileios Polymeros,NULL,Rower
Vic Wunderle,NULL,American archer
Viola Bauer,NULL,Cross-country skier
Virpi Sarasvuo,Finland,Cross-country skier
Vita Styopina,NULL,Ukrainian high jumper
Vitali Ivanov,NULL,Handball player
Volodymyr Sydorenko,Soviet Union,Boxer
Wang Xianbo,NULL,Chinese judo olympic medalist
Jeff Weaver,California,American baseball player
Jennifer Rodriguez,Miami,Speed skater
Jens Kruppa,{Saxony|Freital},Swimmer
Jeremy Cummings,NULL,American baseball player
Jim Parque,Norwalk California,Baseball player
Alireza Heidari,NULL,Olympic wrestler
Amiran Kardanov,NULL,Olympic wrestler
Andreas Widhölzl,Austria,Ski jumper
Andrei Mikhnevich,NULL,Belarusian shot putter
Andrius Jurkūnas,Soviet Union,Basketball player
Lise Legrand,NULL,Olympic wrestler
Liu Guoliang,China,Table tennis player
Lorenzo Bertini,NULL,Rower
Felix Gottwald,NULL,Austrian Nordic combined skier
Filip Kuba,Czechoslovakia,Ice hockey player
Finn Tugwell,NULL,Table tennis player
Martijn Zuijdweg,Netherlands,Dutch swimmer
Matt Welsh,{Victoria (Australia)|Melbourne},Australian swimmer
Matteo Zennaro,Italy,Fencer
Nathan Twaddle,NULL,Rower
Nazmi Avluca,{Çorum Province|Kargı},Olympic wrestler
Neil Walker,Verona Wisconsin,American swimmer Olympic gold medalist former world record-holder
Neisser Bent,{Isla de la Juventud|Nueva Gerona},Swimmer
Nicola Sartori,NULL,Rower
Nuno Delgado,NULL,Judoka
Hrysopiyi Devetzi,Alexandroupoli,Greek triple jumper
Huang Chih-hsiung,Taiwan,Taekwondo practitioner
Chen Lu,China,Figure skater
Christoph Sauser,Switzerland,Swiss racing cyclist
Samuel Kuffour,Ghana,Ghanaian footballer
Adam Commens,NULL,Field hockey player
Aidyn Smagulov,NULL,Judoka
Cecilia Rognoni,Argentina,Field hockey player
Jolanda Čeplak,NULL,Athletics (sport) competitor
Kati Wilhelm,Schmalkalden,German cross-country skier and biathlete
Kelly Sotherton,Isle of Wight,Athletics (sport) competitor
Kenji Inoue,NULL,Olympic wrestler
Kenji Johjima,Sasebo Nagasaki,Baseball player (catcher first baseman)
Éric Bédard,Sainte-Thècle Quebec,Canadian short-track speed skater
Šarūnas Jasikevičius,Lithuania,Lithuanian professional basketball player
Ioan Silviu Suciu,NULL,Gymnast
Irina Kalentieva,Russia,Russian racing cyclist
Isao Yoneda,Germany,Japanese gymnast
Jacinthe Taillon,{Saint-Eustache Quebec|Quebec},Olympic synchronized swimmer
Eng Hian,NULL,Badminton player
Therese Alshammar,{Solna Municipality|Stockholm County},Swimmer
Thibaud Chapelle,France,Olympic rower
Thomas Rupprath,{Neuss|North Rhine-Westphalia},Swimmer
Tim Brabants,Chertsey,Canoe racer
Tina Wunderlich,{Bad Berleburg|West Germany},German footballer
Tobias Angerer,NULL,Cross-country skier
Luciana Aymar,Argentina,Field hockey player
Lukáš Bauer,Czechoslovakia,Cross-country skier
Xiao Hailiang,NULL,chinese sport diver
Yang Yang,China,Short track speed skater
Yelena Krivoshey,NULL,Gymnast
Yelena Mikulich,Minsk,Rower
Yevgeni Podgorny,NULL,Gymnast
Yuliya Pakhalina,Penza,Diver
Yuliya Viktorovna Ivanova,{Volgograd|Russian Soviet Federative Socialist Republic},Gymnast
Yuya Ando,Japan,Baseball player
Freddy Mayola,Cuba,Cuban sprint athlete
Galina Likhachova,NULL,Speed skater
Ganna Burmystrova,NULL,Handball player
Patric Leitner,{Bavaria|Berchtesgaden},Luger
Pavel Kubina,Czechoslovakia,Ice hockey player
Derrick Brew,NULL,Athletics (sport) competitor
Djabir Saïd-Guerni,NULL,Athletics (sport) competitor
Dmitri Dashinski,Belarus,Freestyle skier
Dominique Bosshart,NULL,Taekwondo practitioner
Dorel Simion,NULL,Boxer
Rod White,United States,Archer
Rodrigo Núñez,Chile,Chilean footballer
Roman Balashov,NULL,Water polo player
Rui Silva,Portugal,Portuguese middle and long-distance runner
Mette Schjoldager,{Aarhus|Central Denmark Region|Viby_SJ},Badminton player
Mia Hundvin,Norway,Norwegian handball player
Michael Klim,Gdynia,Swimmer
Michal Riszdorfer,NULL,Canoe racer
Michelle Burgher,NULL,Athletics (sport) competitor
Mihai Covaliu,Brașov,Fencer
Minke Booij,NULL,Field hockey player
Tomislav Smoljanović,Croatia,Croatian rower
Tommy Ingebrigtsen,Trondheim,Norwegian ski jumper
Toni Lydman,Finland,Ice hockey player
Tonya Verbeek,Canada,Olympic wrestler
Troy Elder,NULL,Field hockey player
Tuula Puputti,NULL,Ice hockey player
Shannon Miller,Rolla Missouri,American gymnast
Sharon Hunt,United Kingdom,Equestrian
Sofia Bekatorou,NULL,Greek yacht racer
Stephen Parry,Liverpool,English swimmer
Stephon Marbury,{Brooklyn|2003–04 New York Knicks season},Basketball player
Kirsten Klose,Auetal,German hammer thrower
Konstantin Dubrovin,Soviet Union,Swimmer
Kosuke Fukudome,Japan,Japanese baseball player
Krisztián Veréb,NULL,Canoe racer
Manu Ginóbili,{Bahía Blanca|Liga Nacional de Básquet|Buenos Aires Province},Argentine basketball player
María de la Paz Hernández,Argentina,Field hockey player
Marcel Hacker,NULL,Rower
Mariana Limbău,NULL,Canoe racer
Mario Stecher,NULL,Austrian Nordic combined skier
Javier di Gregorio,Argentina,Argentine footballer
Juanín García,León Spain,Juanín is a Spanish handball player who's defending the club colours of F.C. Barcelona Borges.
Juraj Bača,NULL,Canoe racer
Juraj Minčík,NULL,Canoe racer
Atsushi Fujimoto,Hyōgo Prefecture,Baseball player
Aydın Polatçı,Istanbul,Olympic wrestler
Becky Hammon,{South Dakota|Rapid City South Dakota},Basketball player
Annabel Kosten,{Zeeland|Oostburg},Swimmer
Anni Friesinger-Postma,{West Germany|Bad Reichenhall},German speed skater
Antonio Scaduto,NULL,Canoe racer
Arianna Follis,{Piedmont|Ivrea},Italian cross-country skier and ski mountaineer
Ariel Ze'evi,NULL,Israeli judoka
Olena Yatsenko,NULL,Ukrainian handball player
Olga Shtyrenko,Volgograd,Gymnast
Oxana Rayhel,NULL,Handball player
Pablo Prigioni,{Liga Nacional de Básquet|Córdoba Argentina|Río Tercero Córdoba},Professional basketball player
Rainer Schönfelder,NULL,Austrian Alpine skier
Reinhard Schwarzenberger,NULL,Ski jumper
Philipp Crone,NULL,Olympic medalist
Alanna Kraus,Abbotsford British Columbia,Canadian short track speed skater
Alejandra Gulla,NULL,Field hockey player
Aleksandar Ćirić,Serbia,Water polo player
Aleksandr Kosarev,NULL,Volleyball player
Alexander Beresch,NULL,Gymnast
Rita König,Romania,Fencer
Robin Bell,South Africa,Canoe racer
Stuart Welch,NULL,Rower
Sylviane Félix,NULL,French athlete
Tamara Crow,NULL,Olympic synchronized swimmer
Tamerlan Tmenov,Soviet Union,Judoka
Tasha Danvers,{London|London Borough of Lambeth},Athletics (sport) competitor
Evgenia Radanova,Bulgaria,Short track speed skater
David Henríquez,Chile,Chilean footballer
Davide Rummolo,Naples,Swimmer
Gina Gogean,Romania,Gymnast
Mitică Pricop,NULL,Canoe racer
Nataliya Lavrinenko,NULL,Rower
Bevan Docherty,Taupo,Triathlete
Bevan George,NULL,Field hockey player
Birgit Prinz,{Frankfurt|Germany women's national football team|West Germany},Association football player
Bode Miller,{United States Ski Team|Easton New Hampshire},Alpine skier
Buffy-Lynne Williams,NULL,Rower
Varvara Barysheva,NULL,Speed skater
Vincent Defrasne,NULL,French biathlete
Violetta Oblinger-Peters,{West Germany|Schwerte},Austrian slalom canoer
Vitalie Gruşac,NULL,Moldovan boxer
Jennifer Isacco,NULL,Italian bobsledder
Jiří Magál,NULL,Czech cross-country skier
Joachim Olsen,NULL,Athletics (sport) competitor and politician
Ambrosi Hoffmann,NULL,Swiss alpine skier
Anders Södergren,Sweden,Cross-country skier
Andrea Henkel,{East Germany|Ilmenau},German biathlete
Andreas Helgstrand,NULL,Equestrian
Andrija Gerić,Serbia,Volleyball player
Leire Olaberria,Spain,Olympic cyclist
Leszek Blanik,Wodzisław Śląski,Gymnast
Liam Parsons,{Ontario|Thunder Bay},Rower
Liana Mesa,NULL,Volleyball player
Lilia Vaygina-Efremova,NULL,Ukrainian biathlete
Fiona Crawford,NULL,Softball player
Floyd Mayweather Jr.,Grand Rapids Michigan,American Olympic and professional boxer
Mathieu Turcotte,{Sherbrooke|Quebec},Canadian short-track speed skater
Maybelis Martínez,Cuba,Volleyball player
Nienke Hommes,Haarlem,Rower
Nils Olav Fjeldheim,NULL,Canoe racer
Nina Zhivanevskaya,Moscow,Swimmer
