"","dataset","Sport"
"206","DBPedia","Ice Hockey"
"207","DBPedia","Field hockey"
"208","DBPedia","Field hockey"
"209","DBPedia","Handball"
"210","DBPedia","Volleyball"
"211","DBPedia","Volleyball"
"212","DBPedia","Handball"
"213","DBPedia","Volleyball"
"214","DBPedia","Handball"
"215","DBPedia","Ice Hockey"
"216","DBPedia","Field hockey"
"217","DBPedia","Field hockey"
"218","DBPedia","Field hockey"
"219","DBPedia","Handball"
"220","DBPedia","Field hockey"
"221","DBPedia","Handball"
"222","DBPedia","Handball"
"223","DBPedia","Basketball"
"224","DBPedia","Field hockey"
"225","DBPedia","Handball"
"226","DBPedia","Field hockey"
"227","DBPedia","Handball"
"228","DBPedia","Handball"
"229","DBPedia","Handball"
"230","DBPedia","Handball"
"231","DBPedia","Handball"
"232","DBPedia","Field hockey"
"233","DBPedia","Field hockey"
"234","DBPedia","Field hockey"
"235","DBPedia","Handball"
"236","DBPedia","Volleyball"
"237","DBPedia","Volleyball"
"238","DBPedia","Volleyball"
"239","DBPedia","Field hockey"
"240","DBPedia","Volleyball"
"241","DBPedia","Ice Hockey"
"242","DBPedia","Handball"
"243","DBPedia","Volleyball"
"244","DBPedia","Handball"
"245","DBPedia","Ice Hockey"
"246","DBPedia","Volleyball"
"247","DBPedia","Ice Hockey"
"248","DBPedia","Handball"
"249","DBPedia","Handball"
"250","DBPedia","Volleyball"
"251","DBPedia","Handball"
"252","DBPedia","Field hockey"
"253","DBPedia","Ice Hockey"
"254","DBPedia","Volleyball"
"255","DBPedia","Handball"
"256","DBPedia","Basketball"
"257","DBPedia","Handball"
"258","DBPedia","Ice Hockey"
"259","DBPedia","Volleyball"
"260","DBPedia","Handball"
"261","DBPedia","Handball"
"262","DBPedia","Basketball"
"263","DBPedia","Field hockey"
"264","DBPedia","Ice Hockey"
"265","DBPedia","Handball"
"266","DBPedia","Ice Hockey"
"267","DBPedia","Volleyball"
"268","DBPedia","Ice Hockey"
"269","DBPedia","Volleyball"
"270","DBPedia","Handball"
"271","DBPedia","Handball"
"272","DBPedia","Handball"
"273","DBPedia","Ice Hockey"
"274","DBPedia","Field hockey"
"275","DBPedia","Volleyball"
"276","DBPedia","Handball"
"277","DBPedia","Ice Hockey"
"278","DBPedia","Field hockey"
"279","DBPedia","Field hockey"
"280","DBPedia","Handball"
"281","DBPedia","Handball"
"282","DBPedia","Volleyball"
"283","DBPedia","Handball"
"284","DBPedia","Field hockey"
"285","DBPedia","Volleyball"
"286","DBPedia","Handball"
"287","DBPedia","Volleyball"
"288","DBPedia","Field hockey"
"289","DBPedia","Handball"
"290","DBPedia","Field hockey"
"291","DBPedia","Handball"
"292","DBPedia","Volleyball"
"293","DBPedia","Volleyball"
"294","DBPedia","Handball"
"295","DBPedia","Volleyball"
"296","DBPedia","Field hockey"
"297","DBPedia","Basketball"
"298","DBPedia","Basketball"
"299","DBPedia","Field hockey"
"300","DBPedia","Field hockey"
"301","DBPedia","Field hockey"
"302","DBPedia","Handball"
"303","DBPedia","Field hockey"
"304","DBPedia","Handball"
"305","DBPedia","Handball"
"306","DBPedia","Handball"
"307","DBPedia","Field hockey"
"308","DBPedia","Handball"
"309","DBPedia","Basketball"
"310","DBPedia","Ice Hockey"
"311","DBPedia","Field hockey"
"312","DBPedia","Field hockey"
"313","DBPedia","Basketball"
"314","DBPedia","Basketball"
"315","DBPedia","Basketball"
"316","DBPedia","Ice Hockey"
"317","DBPedia","Handball"
"318","DBPedia","Ice Hockey"
"319","DBPedia","Ice Hockey"
"320","DBPedia","Ice Hockey"
"321","DBPedia","Ice Hockey"
"322","DBPedia","Ice Hockey"
"323","DBPedia","Handball"
"324","DBPedia","Handball"
"325","DBPedia","Volleyball"
"326","DBPedia","Handball"
"327","DBPedia","Handball"
"328","DBPedia","Basketball"
"329","DBPedia","Volleyball"
"330","DBPedia","Volleyball"
"331","DBPedia","Field hockey"
"332","DBPedia","Volleyball"
"333","DBPedia","Volleyball"
"334","DBPedia","Handball"
"335","DBPedia","Basketball"
"336","DBPedia","Volleyball"
"337","DBPedia","Ice Hockey"
"338","DBPedia","Handball"
"339","DBPedia","Ice Hockey"
"340","DBPedia","Ice Hockey"
"341","DBPedia","Handball"
"342","DBPedia","Ice Hockey"
"343","DBPedia","Basketball"
"344","DBPedia","Ice Hockey"
"345","DBPedia","Handball"
"346","DBPedia","Volleyball"
"347","DBPedia","Field hockey"
"348","DBPedia","Ice Hockey"
"349","DBPedia","Ice Hockey"
"350","DBPedia","Handball"
"351","DBPedia","Basketball"
"352","DBPedia","Volleyball"
"353","DBPedia","Volleyball"
"354","DBPedia","Basketball"
"355","DBPedia","Basketball"
"356","DBPedia","Basketball"
"357","DBPedia","Field hockey"
"358","DBPedia","Volleyball"
"359","DBPedia","Volleyball"
"360","DBPedia","Handball"
"361","DBPedia","Ice Hockey"
"362","DBPedia","Volleyball"
"363","DBPedia","Volleyball"
"364","DBPedia","Volleyball"
"365","DBPedia","Volleyball"
"366","DBPedia","Basketball"
"367","DBPedia","Handball"
"368","DBPedia","Volleyball"
"369","DBPedia","Volleyball"
"370","DBPedia","Handball"
"371","DBPedia","Volleyball"
"372","DBPedia","Field hockey"
"373","DBPedia","Volleyball"
"374","DBPedia","Handball"
"375","DBPedia","Handball"
"376","DBPedia","Field hockey"
"377","DBPedia","Handball"
"378","DBPedia","Ice Hockey"
"379","DBPedia","Field hockey"
"380","DBPedia","Handball"
"381","DBPedia","Volleyball"
"382","DBPedia","Handball"
"383","DBPedia","Volleyball"
"384","DBPedia","Ice Hockey"
"385","DBPedia","Handball"
"386","DBPedia","Volleyball"
"387","DBPedia","Ice Hockey"
"388","DBPedia","Field hockey"
"389","DBPedia","Basketball"
"390","DBPedia","Field hockey"
"391","DBPedia","Basketball"
"392","DBPedia","Volleyball"
"393","DBPedia","Handball"
"394","DBPedia","Volleyball"
"395","DBPedia","Handball"
"396","DBPedia","Field hockey"
"397","DBPedia","Field hockey"
"398","DBPedia","Handball"
"399","DBPedia","Basketball"
"400","DBPedia","Ice Hockey"
"401","DBPedia","Volleyball"
"402","DBPedia","Handball"
"403","DBPedia","Volleyball"
"404","DBPedia","Basketball"
"405","DBPedia","Field hockey"
"406","DBPedia","Ice Hockey"
"407","DBPedia","Volleyball"
"408","DBPedia","Field hockey"
"409","DBPedia","Ice Hockey"
"410","DBPedia","Ice Hockey"
"411","DBPedia","Ice Hockey"
"412","DBPedia","Field hockey"
"413","DBPedia","Volleyball"
"414","DBPedia","Volleyball"
"415","DBPedia","Volleyball"
"416","DBPedia","Handball"
"417","DBPedia","Handball"
"418","DBPedia","Field hockey"
"419","DBPedia","Ice Hockey"
"420","DBPedia","Field hockey"
"421","DBPedia","Basketball"
"422","DBPedia","Basketball"
"423","DBPedia","Volleyball"
"424","DBPedia","Field hockey"
"425","DBPedia","Basketball"
"426","DBPedia","Volleyball"
"427","DBPedia","Basketball"
"428","DBPedia","Handball"
"429","DBPedia","Volleyball"
"430","DBPedia","Basketball"
"431","DBPedia","Field hockey"
"432","DBPedia","Basketball"
"433","DBPedia","Ice Hockey"
"434","DBPedia","Field hockey"
"435","DBPedia","Handball"
"436","DBPedia","Handball"
"437","DBPedia","Basketball"
"438","DBPedia","Handball"
"439","DBPedia","Handball"
"440","DBPedia","Volleyball"
"441","DBPedia","Volleyball"
"442","DBPedia","Ice Hockey"
"443","DBPedia","Basketball"
"444","DBPedia","Basketball"
"445","DBPedia","Basketball"
"446","DBPedia","Ice Hockey"
"447","DBPedia","Field hockey"
"448","DBPedia","Volleyball"
"449","DBPedia","Handball"
"450","DBPedia","Basketball"
"451","DBPedia","Basketball"
"452","DBPedia","Handball"
"453","DBPedia","Handball"
"454","DBPedia","Volleyball"
"455","DBPedia","Ice Hockey"
"456","DBPedia","Volleyball"
"457","DBPedia","Ice Hockey"
"458","DBPedia","Basketball"
"459","DBPedia","Handball"
"460","DBPedia","Field hockey"
"461","DBPedia","Field hockey"
"462","DBPedia","Volleyball"
"463","DBPedia","Basketball"
"464","DBPedia","Ice Hockey"
"465","DBPedia","Volleyball"
"466","DBPedia","Handball"
"467","DBPedia","Ice Hockey"
"468","DBPedia","Handball"
"469","DBPedia","Ice Hockey"
"470","DBPedia","Ice Hockey"
"471","DBPedia","Ice Hockey"
"472","DBPedia","Basketball"
"473","DBPedia","Handball"
"474","DBPedia","Volleyball"
"475","DBPedia","Handball"
"476","DBPedia","Volleyball"
"477","DBPedia","Handball"
"478","DBPedia","Basketball"
"479","DBPedia","Handball"
"480","DBPedia","Volleyball"
"481","DBPedia","Handball"
"482","DBPedia","Basketball"
"483","DBPedia","Volleyball"
"484","DBPedia","Handball"
"485","DBPedia","Handball"
"486","DBPedia","Ice Hockey"
"487","DBPedia","Volleyball"
"488","DBPedia","Handball"
"489","DBPedia","Ice Hockey"
"490","DBPedia","Ice Hockey"
"491","DBPedia","Volleyball"
"492","DBPedia","Handball"
"493","DBPedia","Ice Hockey"
"494","DBPedia","Volleyball"
"495","DBPedia","Handball"
"496","DBPedia","Volleyball"
"497","DBPedia","Ice Hockey"
"498","DBPedia","Ice Hockey"
"499","DBPedia","Ice Hockey"
"500","DBPedia","Field hockey"
"501","DBPedia","Handball"
"502","DBPedia","Handball"
"503","DBPedia","Ice Hockey"
"504","DBPedia","Field hockey"
"505","DBPedia","Handball"
"506","DBPedia","Volleyball"
"507","DBPedia","Volleyball"
"508","DBPedia","Handball"
"509","DBPedia","Volleyball"
"510","DBPedia","Handball"
"511","DBPedia","Field hockey"
"512","DBPedia","Field hockey"
"513","DBPedia","Field hockey"
"514","DBPedia","Field hockey"
"515","DBPedia","Ice Hockey"
"516","DBPedia","Handball"
"517","DBPedia","Basketball"
"518","DBPedia","Ice Hockey"
"519","DBPedia","Basketball"
"520","DBPedia","Handball"
"521","DBPedia","Handball"
"522","DBPedia","Field hockey"
"523","DBPedia","Handball"
"524","DBPedia","Handball"
"525","DBPedia","Basketball"
"526","DBPedia","Volleyball"
"527","DBPedia","Field hockey"
"528","DBPedia","Field hockey"
"529","DBPedia","Basketball"
"530","DBPedia","Handball"
"531","DBPedia","Field hockey"
"532","DBPedia","Volleyball"
"533","DBPedia","Handball"
"534","DBPedia","Ice Hockey"
"535","DBPedia","Volleyball"
"536","DBPedia","Volleyball"
"537","DBPedia","Ice Hockey"
"538","DBPedia","Field hockey"
"539","DBPedia","Ice Hockey"
"540","DBPedia","Field hockey"
"541","DBPedia","Field hockey"
"542","DBPedia","Volleyball"
"543","DBPedia","Volleyball"
"544","DBPedia","Field hockey"
"545","DBPedia","Handball"
"546","DBPedia","Basketball"
"547","DBPedia","Handball"
"548","DBPedia","Basketball"
"549","DBPedia","Basketball"
"550","DBPedia","Ice Hockey"
"551","DBPedia","Volleyball"
"552","DBPedia","Ice Hockey"
"553","DBPedia","Field hockey"
"554","DBPedia","Ice Hockey"
"555","DBPedia","Ice Hockey"
"556","DBPedia","Ice Hockey"
"557","DBPedia","Ice Hockey"
"558","DBPedia","Ice Hockey"
"559","DBPedia","Handball"
"560","DBPedia","Field hockey"
"561","DBPedia","Basketball"
"562","DBPedia","Basketball"
"563","DBPedia","Volleyball"
"564","DBPedia","Ice Hockey"
"565","DBPedia","Field hockey"
"566","DBPedia","Volleyball"
"567","DBPedia","Field hockey"
"568","DBPedia","Handball"
"569","DBPedia","Volleyball"
"570","DBPedia","Basketball"
"571","DBPedia","Field hockey"
"572","DBPedia","Volleyball"
"573","DBPedia","Field hockey"
"574","DBPedia","Ice Hockey"
"575","DBPedia","Basketball"
"576","DBPedia","Ice Hockey"
"577","DBPedia","Volleyball"
"578","DBPedia","Volleyball"
"579","DBPedia","Handball"
"580","DBPedia","Handball"
"581","DBPedia","Volleyball"
"582","DBPedia","Volleyball"
"583","DBPedia","Volleyball"
"584","DBPedia","Handball"
"585","DBPedia","Basketball"
"586","DBPedia","Handball"
"587","DBPedia","Ice Hockey"
"588","DBPedia","Ice Hockey"
"589","DBPedia","Handball"
"590","DBPedia","Ice Hockey"
"591","DBPedia","Handball"
"592","DBPedia","Field hockey"
"593","DBPedia","Ice Hockey"
"594","DBPedia","Basketball"
"595","DBPedia","Ice Hockey"
"596","DBPedia","Volleyball"
"597","DBPedia","Ice Hockey"
"598","DBPedia","Basketball"
"599","DBPedia","Handball"
"600","DBPedia","Field hockey"
"601","DBPedia","Volleyball"
"602","DBPedia","Ice Hockey"
"603","DBPedia","Field hockey"
"604","DBPedia","Ice Hockey"
"605","DBPedia","Volleyball"
