"","dataset","Sport"
"205","DBPedia","Field hockey"
"206","DBPedia","Volleyball"
"207","DBPedia","Basketball"
"208","DBPedia","Volleyball"
"209","DBPedia","Handball"
"210","DBPedia","Volleyball"
"211","DBPedia","Ice Hockey"
"212","DBPedia","Ice Hockey"
"213","DBPedia","Volleyball"
"214","DBPedia","Field hockey"
"215","DBPedia","Ice Hockey"
"216","DBPedia","Field hockey"
"217","DBPedia","Handball"
"218","DBPedia","Volleyball"
"219","DBPedia","Volleyball"
"220","DBPedia","Handball"
"221","DBPedia","Volleyball"
"222","DBPedia","Handball"
"223","DBPedia","Handball"
"224","DBPedia","Field hockey"
"225","DBPedia","Basketball"
"226","DBPedia","Volleyball"
"227","DBPedia","Handball"
"228","DBPedia","Handball"
"229","DBPedia","Volleyball"
"230","DBPedia","Handball"
"231","DBPedia","Field hockey"
"232","DBPedia","Ice Hockey"
"233","DBPedia","Volleyball"
"234","DBPedia","Basketball"
"235","DBPedia","Volleyball"
"236","DBPedia","Handball"
"237","DBPedia","Handball"
"238","DBPedia","Volleyball"
"239","DBPedia","Basketball"
"240","DBPedia","Handball"
"241","DBPedia","Handball"
"242","DBPedia","Field hockey"
"243","DBPedia","Basketball"
"244","DBPedia","Basketball"
"245","DBPedia","Volleyball"
"246","DBPedia","Basketball"
"247","DBPedia","Volleyball"
"248","DBPedia","Field hockey"
"249","DBPedia","Field hockey"
"250","DBPedia","Handball"
"251","DBPedia","Basketball"
"252","DBPedia","Field hockey"
"253","DBPedia","Basketball"
"254","DBPedia","Handball"
"255","DBPedia","Basketball"
"256","DBPedia","Field hockey"
"257","DBPedia","Handball"
"258","DBPedia","Field hockey"
"259","DBPedia","Field hockey"
"260","DBPedia","Field hockey"
"261","DBPedia","Basketball"
"262","DBPedia","Basketball"
"263","DBPedia","Ice Hockey"
"264","DBPedia","Field hockey"
"265","DBPedia","Basketball"
"266","DBPedia","Volleyball"
"267","DBPedia","Field hockey"
"268","DBPedia","Basketball"
"269","DBPedia","Volleyball"
"270","DBPedia","Volleyball"
"271","DBPedia","Volleyball"
"272","DBPedia","Handball"
"273","DBPedia","Field hockey"
"274","DBPedia","Ice Hockey"
"275","DBPedia","Field hockey"
"276","DBPedia","Field hockey"
"277","DBPedia","Volleyball"
"278","DBPedia","Volleyball"
"279","DBPedia","Handball"
"280","DBPedia","Volleyball"
"281","DBPedia","Field hockey"
"282","DBPedia","Volleyball"
"283","DBPedia","Ice Hockey"
