ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,BirthYear
26857,Paul Robert Dearing,M,22,175,79,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Bronze,1942
26858,Jack Gilroy Dearlove,M,37,NA,NA,Great Britain,GBR,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Coxed Eights,Silver,1911
26860,"Richard Burke ""Dick"" Deaver",M,33,180,77,Aphrodite,USA,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed Three Person Keelboat,Bronze,1931
26861,Timothy Deavin,M,27,185,77,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze,1985
26863,Harry Leopold DeBaecke,M,20,NA,NA,Vesper Boat Club,USA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold,1880
26870,Matja Debelak,M,22,181,72,Yugoslavia,YUG,1988 Winter,1988,Winter,Calgary,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Bronze,1966
26871,Dmitry Vladimirovich Debelka,M,24,190,130,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze,1976
26874,Danile Debernard,F,17,156,48,France,FRA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Slalom,Silver,1955
26876,Monika Debertshuser (-Heler),F,23,165,55,East Germany,GDR,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze,1953
26880,Rajmond Debevec,M,37,182,72,Slovenia,SLO,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold,1963
26886,douard Eugne Joseph Ghislain Debongnie,M,22,NA,NA,Belgium,BEL,1906 Summer,1906,Summer,Athina,Cycling,Cycling Men's Sprint,Bronze,1884
26888,Albert Paul Deborgies,M,21,NA,NA,France,FRA,1924 Summer,1924,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Gold,1903
26896,Jean Lon Debuf,M,32,175,85,France,FRA,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze,1924
26897,Philippe Debureau,M,32,195,95,France,FRA,1992 Summer,1992,Summer,Barcelona,Handball,Handball Men's Handball,Bronze,1960
26898,"Frdrik Edouard Robert ""Fred"" Deburghgraeve",M,23,176,61,Belgium,BEL,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Breaststroke,Gold,1973
26900,Fernand Julien Decanali,M,23,NA,NA,France,FRA,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,1925
26901,Albert Decaris,M,47,NA,NA,France,FRA,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Gold,1901
26903,Jean lie Louis Octave Guillaume Svre Amanieu Decazes et de Glucksbierg,M,36,NA,NA,Quand-Mme-2,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 10-20 Ton,Silver,1864
26921,Andreas Decker,M,23,195,96,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxless Fours,Gold,1953
26923,Brianna Decker,F,22,163,67,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver,1992
26931,Manfred Deckert,M,18,186,73,East Germany,GDR,1980 Winter,1980,Winter,Lake Placid,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Silver,1962
26938,Lucie Dcosse,F,27,168,70,France,FRA,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Middleweight,Silver,1981
26939,Sara DeCosta (-Hayes),F,20,178,59,United States,USA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,1978
26940,Edmond Albert Dcottignies,M,30,171,66,France,FRA,1924 Summer,1924,Summer,Paris,Weightlifting,Weightlifting Men's Lightweight,Gold,1894
26950,Cornlie Gilberte Marie Dcugis (Flameng-),F,21,NA,NA,France,FRA,1906 Summer,1906,Summer,Athina,Tennis,Tennis Mixed Doubles,Gold,1885
26951,"Maxime Omer Mathieu ""Max"" Omer-Dcugis",M,17,NA,NA,United States/France,FRA,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Doubles,Silver,1883
26960,Virginie Dedieu,F,21,164,52,France,FRA,2000 Summer,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze,1979
26966,"Donald Francis ""Don"" Dee",M,25,201,93,United States,USA,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Gold,1943
26967,Oskar Deecke,M,26,183,78,Germany,GER,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Gold,1986
26975,"Anthony Michael ""Tony"" Dees",M,28,193,90,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 110 metres Hurdles,Silver,1964
26979,Didier Dfago,M,32,184,89,Switzerland,SUI,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Downhill,Gold,1978
26980,Meseret Defar Tola,F,20,159,42,Ethiopia,ETH,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 5,000 metres",Gold,1984
26983,Gervasio Deferr ngel,M,19,166,69,Spain,ESP,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horse Vault,Gold,1981
26985,David Dejiro Defiagbon,M,26,195,91,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Heavyweight,Silver,1970
26991,Hlne Defrance,F,29,179,66,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Two Person Dinghy,Bronze,1987
26992,Anita Lucette DeFrantz,F,23,180,72,United States,USA,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Eights,Bronze,1953
26993,Vincent Franois Marie Defrasne,M,24,174,63,France,FRA,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze,1978
26996,James Frederick DeGale,M,22,183,76,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Middleweight,Gold,1986
27003,"Richard Kempster ""Dick"" Degener",M,20,NA,NA,United States,USA,1932 Summer,1932,Summer,Los Angeles,Diving,Diving Men's Springboard,Bronze,1912
27006,Rudolf Reinhold Degermark,M,21,NA,NA,Sweden,SWE,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold,1887
27009,Jean Henri Deglane,M,21,NA,NA,France,FRA,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold,1903
27011,Knud Oluf Jessen Degn,M,43,NA,NA,Bonzo,DEN,1924 Summer,1924,Summer,Paris,Sailing,Sailing Mixed 6 metres,Silver,1881
27020,Dudley Sargent DeGroot,M,24,189,NA,United States,USA,1924 Summer,1924,Summer,Paris,Rugby,Rugby Men's Rugby,Gold,1900
27024,Aleksandr Vladimirovich Degtyaryov,M,21,185,83,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,1955
27039,Bruno Werner Karl Dehn,M,22,NA,NA,Berliner Ruderverein von 1876-2,GER,1912 Summer,1912,Summer,Stockholm,Rowing,Rowing Men's Coxed Eights,Bronze,1890
27045,Riccardo Dei Rossi,M,31,191,90,Italy,ITA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Silver,1969
27049,Alex Deibold,M,27,185,86,United States,USA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Boardercross,Bronze,1987
27056,Beate Deininger,F,20,166,54,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,Silver,1964
27060,Julie Bndicte Deiters,F,25,165,60,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Bronze,1975
27069,Vlasta Dkanov,F,26,NA,NA,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,Silver,1910
27077,"Hendrik ""Erik"" Dekker",M,21,182,66,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",Silver,1971
27078,Femke Pauline Dekker,F,29,186,70,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Silver,1979
27081,Inge Dekker,F,18,183,67,Netherlands,NED,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,1986
27088,Hurnet Nicoret Dekkers,F,30,193,83,Netherlands,NED,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Bronze,1974
27096,Guglielmo Del Bimbo,M,28,173,NA,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Silver,1904
27115,Carlos del Coso Iglesias,M,27,165,64,Spain,ESP,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Bronze,1933
27117,Marcello Del Duca,M,25,181,77,Italy,ITA,1976 Summer,1976,Summer,Montreal,Water Polo,Water Polo Men's Water Polo,Silver,1951
27123,Marco Del Lungo,M,26,190,97,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Bronze,1990
27128,Simone Del Nero,M,23,183,77,Italy,ITA,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Bronze,1981
27132,Juan Martn del Potro,M,23,198,97,Argentina,ARG,2012 Summer,2012,Summer,London,Tennis,Tennis Men's Singles,Bronze,1989
27140,Guillermo del Riego Gordn,M,21,175,73,Spain,ESP,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver,1959
27143,Jorge Alberto del Ro Slas,M,41,174,86,Tango,ARG,1960 Summer,1960,Summer,Roma,Sailing,Sailing Mixed Three Person Keelboat,Silver,1919
27165,Yves Christian Victor Delacour,M,26,NA,NA,France,FRA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxless Fours,Bronze,1930
27172,"Frederick Charles ""Charlie"" Delahey",M,22,NA,NA,Canada,CAN,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,1906
27181,"Ashley Jason ""Ash"" Delaney",M,22,185,82,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,1986
27183,"Francis James ""Jim"" Delaney",M,27,183,93,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Shot Put,Silver,1921
27192,Michael William Delany,M,18,182,84,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,1966
27193,"Ronald Michael ""Ronnie"" Delany",M,21,184,75,Ireland,IRL,1956 Summer,1956,Summer,Melbourne,Athletics,"Athletics Men's 1,500 metres",Gold,1935
27195,Marcel Carlos Paul Gaston Delaplane (De la Plane-),M,24,NA,NA,France,FRA,1906 Summer,1906,Summer,Athina,Rowing,Rowing Men's Single Sculls,Gold,1882
27196,Charles Delaporte,M,25,NA,NA,Socit Nautique de la Basse Seine-1,FRA,1906 Summer,1906,Summer,Athina,Rowing,Rowing Men's Coxed Pairs (1 kilometres),Bronze,1881
27199,Jean Joseph Delarge,M,18,NA,NA,Belgium,BEL,1924 Summer,1924,Summer,Paris,Boxing,Boxing Men's Welterweight,Gold,1906
27206,Marie Claire Delattre-Demory,F,27,172,61,France,FRA,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,1981
27209,Louis Albert Armand Etienne Delaunoij,M,41,NA,NA,Netherlands,NED,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's Sabre, Team",Bronze,1879
27220,Nol Jean Delberghe,M,26,NA,NA,France,FRA,1924 Summer,1924,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Gold,1898
27223,mile Henri Delchambre,M,24,NA,NA,Cercle de l'Aviron Roubaix-4,FRA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Gold,1876
27224,Stoyan Delchev,M,21,162,56,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Individual All-Around,Bronze,1959
27225,Ina Delcheva,F,19,168,44,Bulgaria,BUL,1996 Summer,1996,Summer,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver,1977
27227,Frdric Andr Delcourt,M,20,181,77,France,FRA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Backstroke,Silver,1964
27232,Jocelyn Delecour,M,29,175,67,France,FRA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,1935
27234,Megan Catherine Delehanty,F,24,191,76,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Gold,1968
27256,Carlos Francisco Delfino,M,21,196,95,Argentina,ARG,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,Gold,1983
27258,Giuseppe Delfino,M,30,185,83,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's epee, Team",Gold,1922
27268,Csar Fabin Delgado Godoy,M,22,174,69,Argentina,ARG,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Gold,1982
27269,Cyro Marques Delgado,M,19,182,76,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,1961
27278,Jos Ral Delgado Diez,M,31,182,85,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Gold,1961
27283,Marcelo Alejandro Delgado,M,23,175,76,Argentina,ARG,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Silver,1973
27286,Nuno Miguel Delgado,M,24,180,81,Portugal,POR,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Middleweight,Bronze,1976
27290,Ricardo Delgado Nogales,M,21,161,51,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Flyweight,Gold,1947
27305,Rita Deli,F,28,180,69,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Handball,Handball Women's Handball,Silver,1972
27308,Orhan Delibas (Debiscan-),M,21,174,71,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Light-Middleweight,Silver,1971
27310,Mirza Delibai,M,22,197,86,Yugoslavia,YUG,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Silver,1954
27323,Luis Marano Dels Fournier,M,22,185,106,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Discus Throw,Bronze,1958
27324,Giovanni Delise,M,20,NA,NA,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Fours,Gold,1908
27327,"Marcus Johannes Elizabeth Leopold ""Marc"" Delissen",M,23,174,80,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Men's Hockey,Bronze,1965
27330,Natalie Dell,F,27,175,75,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Quadruple Sculls,Bronze,1985
27341,Fabrizio Della Fiori,M,28,204,102,Italy,ITA,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball,Silver,1952
27357,Elena Delle Donne,F,26,195,86,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold,1990
27366,"William Solon ""Bill"" Dellinger",M,30,175,62,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 5,000 metres",Bronze,1934
27368,Norman Adrian Dello Joio,M,36,172,68,United States,USA,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze,1956
27375,Jeroen Petrus Maria Delme,M,23,173,76,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Gold,1973
27376,Werner Delmes,M,26,177,75,Germany,GER,1956 Summer,1956,Summer,Melbourne,Hockey,Hockey Men's Hockey,Bronze,1930
27377,Gbor Lzsl Delneky,M,28,183,80,Hungary,HUN,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Sabre, Team",Gold,1932
27380,"Cynthia ""Janay"" DeLoach (-Soukup)",F,26,166,58,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Long Jump,Bronze,1986
27381,"Joseph Nathaniel ""Joe"" DeLoach, Jr.",M,21,182,76,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,Gold,1967
27383,Ernst Friedrich Georg Max Deloch,M,25,NA,NA,Germany,GER,1912 Summer,1912,Summer,Stockholm,Equestrianism,"Equestrianism Men's Jumping, Team",Bronze,1887
27384,Henry Lon mile Deloge,M,25,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",Silver,1875
27386,Pierre-Marie Deloof,M,19,187,84,Belgium,BEL,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Double Sculls,Silver,1965
27391,Frdric Delpla,M,23,197,81,France,FRA,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's epee, Team",Gold,1965
27395,Charles Jules Delporte,M,31,NA,NA,Belgium,BEL,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's epee, Individual",Gold,1893
27399,Philippe Delrieu,M,24,180,64,France,FRA,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Silver,1960
27401,Lon Delsarte,M,26,NA,NA,France,FRA,1920 Summer,1920,Summer,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,Bronze,1894
27404,Carlos Deltour,M,36,NA,NA,Rowing Club Castillon-3,FRA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Pairs,Bronze,1864
27409,Maurice Paul Lon Delvart,M,20,NA,NA,France,FRA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,1900
27418,Yutaka Demachi,M,29,175,72,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Men's Volleyball,Bronze,1935
27421,Georges Lucien Dmanet,M,25,NA,NA,France,FRA,1900 Summer,1900,Summer,Paris,Gymnastics,Gymnastics Men's Individual All-Around,Bronze,1875
27423,mile Joseph Demangel,M,25,173,64,France,FRA,1908 Summer,1908,Summer,London,Cycling,Cycling Men's Sprint,Silver,1883
27425,Clarence Harrison DeMar,M,35,171,63,United States,USA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Marathon,Bronze,1889
27427,Nelson Walter Demarco Riccardi,M,27,NA,NA,Uruguay,URU,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Bronze,1925
27435,Susan Marie DeMattei (-Wiens),F,33,165,57,United States,USA,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Women's Mountainbike, Cross-Country",Bronze,1963
27438,Siraba Dembl,F,30,172,64,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Silver,1986
27440,Tadeusz Demboczyk,M,24,155,56,Poland,POL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Bantamweight,Bronze,1956
27442,Albert Mikhaylovich Demchenko,M,34,185,95,Russia,RUS,2006 Winter,2006,Winter,Torino,Luge,Luge Men's Singles,Silver,1972
27446,Jzsef Deme,M,20,190,84,Hungary,HUN,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver,1952
27453,Yana Mykhailivna Dementieva,F,33,182,75,Ukraine,UKR,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Quadruple Sculls,Gold,1979
27456,Yevgeny Aleksandrovich Dementyev,M,23,182,77,Russia,RUS,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Silver,1983
27457,Yelena Vyacheslavovna Dementyeva (-Afinogenova),F,18,180,64,Russia,RUS,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Women's Singles,Silver,1982
27458,"Yelizaveta Grigoryevna Dementyeva (-Pakhomenkova, -Kislova)",F,28,NA,NA,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold,1928
27461,Jacques Demers,M,24,163,75,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Middleweight,Silver,1960
27463,"Deirdre ""Dede"" Demet-Barry",F,31,175,61,United States,USA,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's Individual Time Trial,Silver,1973
27477,Alberto Demiddi,M,24,184,88,Argentina,ARG,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Single Sculls,Bronze,1944
27485,Mahmut Demir,M,26,184,120,Turkey,TUR,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold,1970
27488,Mirela Krasimirova Demireva,F,26,180,58,Bulgaria,BUL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's High Jump,Silver,1990
27495,Soner Demirta,M,25,170,74,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze,1991
27496,Anatoly Nikolayevich Demitkov,M,30,NA,NA,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver,1926
27500,Elisabeth Demleitner (-Seitz),F,23,178,84,West Germany,FRG,1976 Winter,1976,Winter,Innsbruck,Luge,Luge Women's Singles,Bronze,1953
27504,"William ""Bill"" Demong",M,29,178,66,United States,USA,2010 Winter,2010,Winter,Vancouver,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",Gold,1981
27507,Frdric Alain Demontfaucon,M,26,182,90,France,FRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Middleweight,Bronze,1974
27515,"Joseph Francis ""Joe"" Dempsey",M,28,NA,NA,Vesper Boat Club,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Gold,1876
27516,"Nicholas Charles ""Nick"" Dempsey",M,23,180,71,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Sailing,Sailing Men's Windsurfer,Bronze,1981
27524,Lashinda Monique Demus,F,29,170,60,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 400 metres Hurdles,Silver,1983
27528,Valentin Demyanenko,M,32,193,93,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",Silver,1984
27529,Viktor Leonidovich Demyanenko,M,21,167,60,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,Silver,1959
27530,Sergey Nikolayevich Demyashkevich,M,25,188,98,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,1967
27541,Fedor Iwan den Hertog,M,22,183,76,Netherlands,NED,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold,1946
27542,"Willemijntje ""Willy"" den Ouden (-Broms, -Jager, -Schupper)",F,14,163,NA,Netherlands,NED,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Freestyle,Silver,1918
27545,Felix Denayer,M,26,190,85,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Silver,1990
27549,Patricia Dench,F,52,163,65,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze,1932
27552,Yelena Yuryevna Dendeberova (-Kuznetsova),F,19,181,75,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Individual Medley,Silver,1969
27558,Antoine Dnriaz,M,29,189,97,France,FRA,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Downhill,Gold,1977
27569,Deng Linlin,F,16,144,34,China,CHN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Gold,1992
27572,Deng Shudi,M,24,163,58,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze,1992
27574,Deng Wei,F,23,159,63,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Middleweight,Gold,1993
27576,Deng Yaping,F,19,150,53,China,CHN,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Women's Singles,Gold,1973
27595,"Henri Lonard Barthlmi ""Harry"" Dnis",M,23,NA,NA,Netherlands,NED,1920 Summer,1920,Summer,Antwerpen,Football,Football Men's Football,Bronze,1897
27601,Aleksey Alekseyevich Denisenko,M,18,185,68,Russia,RUS,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Flyweight,Bronze,1994
27605,Viktor Viktorovich Denisov,M,22,188,90,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver,1966
27607,Vladimir Gennadyevich Denisov,M,25,173,64,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's Foil, Team",Silver,1947
27609,Aleksandr Vladimirovich Denisyev,M,22,189,100,Russia,RUS,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed Team Relay,Silver,1992
27610,Leslie Jean Deniz,F,22,170,86,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Discus Throw,Silver,1962
27618,Helen Jennifer Denman,F,19,182,70,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,1977
27629,"Clara ""Clare"" Dennis (-Golding)",F,16,NA,NA,Australia,AUS,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Breaststroke,Gold,1916
27635,Rohan Dennis,M,22,182,72,Australia,AUS,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,1990
27636,Simon John Dennis,M,24,200,95,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Gold,1976
27639,"Alexander Guthrie ""Alastair"" Denniston",M,26,NA,NA,Scotland-3,GBR,1908 Summer,1908,Summer,London,Hockey,Hockey Men's Hockey,Bronze,1882
27646,Erin Densham,F,27,165,52,Australia,AUS,2012 Summer,2012,Summer,London,Triathlon,Triathlon Women's Olympic Distance,Bronze,1985
27651,Dario Dentale,M,21,203,95,Italy,ITA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Bronze,1983
27654,"William Thomas ""Tom"" Denton",M,21,NA,NA,United States,USA,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Rings,Silver,1911
27672,"Joseph Nicholas ""Joe"" DePietro",M,34,140,56,United States,USA,1948 Summer,1948,Summer,London,Weightlifting,Weightlifting Men's Bantamweight,Gold,1914
